time,wind
2012-01-01 10:30:00,0.70624995
2012-01-02 10:30:00,0.435
2012-01-03 10:30:00,1.62
2012-01-04 10:30:00,1.58875
2012-01-05 10:30:00,1.325
2012-01-06 10:30:00,1.1725
2012-01-07 10:30:00,1.37125
2012-01-08 10:30:00,1.77625
2012-01-09 10:30:00,1.275
2012-01-10 10:30:00,2.3925
2012-01-11 10:30:00,1.125
2012-01-12 10:30:00,2.12375
2012-01-13 10:30:00,2.645
2012-01-14 10:30:00,1.31
2012-01-15 10:30:00,1.50625
2012-01-16 10:30:00,0.35875
2012-01-17 10:30:00,0.67875
2012-01-18 10:30:00,1.9562501
2012-01-19 10:30:00,1.76625
2012-01-20 10:30:00,3.35375
2012-01-21 10:30:00,3.2325
2012-01-22 10:30:00,2.9137502
2012-01-23 10:30:00,2.01375
2012-01-24 10:30:00,1.605
2012-01-25 10:30:00,1.3475
2012-01-26 10:30:00,2.33625
2012-01-27 10:30:00,1.965
2012-01-28 10:30:00,1.43375
2012-01-29 10:30:00,2.2675
2012-01-30 10:30:00,3.13375
2012-01-31 10:30:00,2.015
2012-02-01 10:30:00,2.9524999
2012-02-02 10:30:00,4.25625
2012-02-03 10:30:00,3.9675
2012-02-04 10:30:00,2.93875
2012-02-05 10:30:00,3.12
2012-02-06 10:30:00,4.04375
2012-02-07 10:30:00,2.69
2012-02-08 10:30:00,3.03375
2012-02-09 10:30:00,3.5725
2012-02-10 10:30:00,2.50875
2012-02-11 10:30:00,2.28875
2012-02-12 10:30:00,0.96
2012-02-13 10:30:00,2.06875
2012-02-14 10:30:00,2.99875
2012-02-15 10:30:00,2.885
2012-02-16 10:30:00,2.7925
2012-02-17 10:30:00,2.25875
2012-02-18 10:30:00,2.5025
2012-02-19 10:30:00,2.20125
2012-02-20 10:30:00,1.99875
2012-02-21 10:30:00,1.37625
2012-02-22 10:30:00,0.66
2012-02-23 10:30:00,1.1175
2012-02-24 10:30:00,3.80125
2012-02-25 10:30:00,2.31
2012-02-26 10:30:00,1.67875
2012-02-27 10:30:00,2.06625
2012-02-28 10:30:00,1.31875
2012-02-29 10:30:00,2.0987499
2012-03-01 10:30:00,3.02625
2012-03-02 10:30:00,1.8275
2012-03-03 10:30:00,1.28
2012-03-04 10:30:00,1.03
2012-03-05 10:30:00,1.4225
2012-03-06 10:30:00,2.0975
2012-03-07 10:30:00,3.71
2012-03-08 10:30:00,3.16625
2012-03-09 10:30:00,1.71875
2012-03-10 10:30:00,2.43375
2012-03-11 10:30:00,2.82125
2012-03-12 10:30:00,1.52875
2012-03-13 10:30:00,3.02375
2012-03-14 10:30:00,2.04875
2012-03-15 10:30:00,2.47625
2012-03-16 10:30:00,2.9525
2012-03-17 10:30:00,2.13625
2012-03-18 10:30:00,3.30875
2012-03-19 10:30:00,2.9325
2012-03-20 10:30:00,2.0
2012-03-21 10:30:00,5.50875
2012-03-22 10:30:00,1.68875
2012-03-23 10:30:00,3.22625
2012-03-24 10:30:00,4.07625
2012-03-25 10:30:00,2.755
2012-03-26 10:30:00,2.79
2012-03-27 10:30:00,3.335
2012-03-28 10:30:00,3.25625
2012-03-29 10:30:00,3.42
2012-03-30 10:30:00,3.7437499
2012-03-31 10:30:00,3.6125
2012-04-01 10:30:00,1.0625
2012-04-02 10:30:00,1.8275
2012-04-03 10:30:00,2.4975
2012-04-04 10:30:00,3.125
2012-04-05 10:30:00,3.63625
2012-04-06 10:30:00,2.325
2012-04-07 10:30:00,5.30875
2012-04-08 10:30:00,4.71625
2012-04-09 10:30:00,1.84375
2012-04-10 10:30:00,3.99875
2012-04-11 10:30:00,6.05125
2012-04-12 10:30:00,3.85125
2012-04-13 10:30:00,3.41625
2012-04-14 10:30:00,1.51625
2012-04-15 10:30:00,3.75
2012-04-16 10:30:00,2.21625
2012-04-17 10:30:00,2.1925
2012-04-18 10:30:00,1.9725
2012-04-19 10:30:00,3.1025
2012-04-20 10:30:00,3.01875
2012-04-21 10:30:00,1.53375
2012-04-22 10:30:00,1.23625
2012-04-23 10:30:00,2.4925
2012-04-24 10:30:00,2.3775
2012-04-25 10:30:00,2.725
2012-04-26 10:30:00,3.2749999
2012-04-27 10:30:00,4.25875
2012-04-28 10:30:00,4.47625
2012-04-29 10:30:00,1.24375
2012-04-30 10:30:00,2.43625
2012-05-01 10:30:00,1.80125
2012-05-02 10:30:00,1.5075
2012-05-03 10:30:00,3.2175
2012-05-04 10:30:00,3.945
2012-05-05 10:30:00,3.34125
2012-05-06 10:30:00,2.7549999
2012-05-07 10:30:00,2.57625
2012-05-08 10:30:00,1.4087499
2012-05-09 10:30:00,3.12875
2012-05-10 10:30:00,1.8625
2012-05-11 10:30:00,2.59125
2012-05-12 10:30:00,1.1925
2012-05-13 10:30:00,2.575
2012-05-14 10:30:00,2.1125
2012-05-15 10:30:00,1.95125
2012-05-16 10:30:00,1.8675001
2012-05-17 10:30:00,1.345
2012-05-18 10:30:00,3.4375
2012-05-19 10:30:00,2.9425
2012-05-20 10:30:00,1.3925
2012-05-21 10:30:00,3.3025
2012-05-22 10:30:00,3.5687501
2012-05-23 10:30:00,3.62625
2012-05-24 10:30:00,3.615
2012-05-25 10:30:00,2.99125
2012-05-26 10:30:00,1.8075
2012-05-27 10:30:00,2.2862499
2012-05-28 10:30:00,4.28875
2012-05-29 10:30:00,2.71625
2012-05-30 10:30:00,3.0674999
2012-05-31 10:30:00,2.65375
2012-06-01 10:30:00,2.6125
2012-06-02 10:30:00,1.45
2012-06-03 10:30:00,1.32875
2012-06-04 10:30:00,1.4675
2012-06-05 10:30:00,2.135
2012-06-06 10:30:00,1.78
2012-06-07 10:30:00,2.4975
2012-06-08 10:30:00,2.13625
2012-06-09 10:30:00,1.82
2012-06-10 10:30:00,3.3225
2012-06-11 10:30:00,1.0175
2012-06-12 10:30:00,1.91125
2012-06-13 10:30:00,1.6
2012-06-14 10:30:00,2.0075
2012-06-15 10:30:00,1.56
2012-06-16 10:30:00,1.3125
2012-06-17 10:30:00,1.03
2012-06-18 10:30:00,1.58
2012-06-19 10:30:00,1.2225
2012-06-20 10:30:00,1.6175
2012-06-21 10:30:00,1.15875
2012-06-22 10:30:00,2.2525
2012-06-23 10:30:00,1.95875
2012-06-24 10:30:00,2.06875
2012-06-25 10:30:00,1.115
2012-06-26 10:30:00,2.1675
2012-06-27 10:30:00,1.165
2012-06-28 10:30:00,1.3775
2012-06-29 10:30:00,2.04875
2012-06-30 10:30:00,2.0075
2012-07-01 10:30:00,2.32875
2012-07-02 10:30:00,2.155
2012-07-03 10:30:00,1.79
2012-07-04 10:30:00,1.48875
2012-07-05 10:30:00,1.06625
2012-07-06 10:30:00,0.875
2012-07-07 10:30:00,1.7075
2012-07-08 10:30:00,1.4875001
2012-07-09 10:30:00,0.85375
2012-07-10 10:30:00,0.63625
2012-07-11 10:30:00,2.98125
2012-07-12 10:30:00,1.92875
2012-07-13 10:30:00,0.96875
2012-07-14 10:30:00,1.045
2012-07-15 10:30:00,1.47375
2012-07-16 10:30:00,0.625
2012-07-17 10:30:00,1.62875
2012-07-18 10:30:00,1.63375
2012-07-19 10:30:00,0.9725
2012-07-20 10:30:00,1.11875
2012-07-21 10:30:00,1.37375
2012-07-22 10:30:00,1.54125
2012-07-23 10:30:00,1.6324999
2012-07-24 10:30:00,0.345
2012-07-25 10:30:00,0.98
2012-07-26 10:30:00,3.43875
2012-07-27 10:30:00,2.09375
2012-07-28 10:30:00,2.7725
2012-07-29 10:30:00,3.195
2012-07-30 10:30:00,1.9425
2012-07-31 10:30:00,1.6075
2012-08-01 10:30:00,1.66
2012-08-02 10:30:00,1.26125
2012-08-03 10:30:00,1.8725
2012-08-04 10:30:00,1.13
2012-08-05 10:30:00,1.7925
2012-08-06 10:30:00,1.13125
2012-08-07 10:30:00,2.105
2012-08-08 10:30:00,2.625
2012-08-09 10:30:00,2.675
2012-08-10 10:30:00,2.12375
2012-08-11 10:30:00,0.98375
2012-08-12 10:30:00,1.9087499
2012-08-13 10:30:00,1.26875
2012-08-14 10:30:00,0.72625
2012-08-15 10:30:00,1.01875
2012-08-16 10:30:00,1.9775
2012-08-17 10:30:00,2.05125
2012-08-18 10:30:00,2.065
2012-08-19 10:30:00,1.69
2012-08-20 10:30:00,3.10125
2012-08-21 10:30:00,2.065
2012-08-22 10:30:00,2.56625
2012-08-23 10:30:00,2.23125
2012-08-24 10:30:00,1.1675
2012-08-25 10:30:00,1.8275
2012-08-26 10:30:00,1.4825
2012-08-27 10:30:00,1.32875
2012-08-28 10:30:00,1.42
2012-08-29 10:30:00,1.9525
2012-08-30 10:30:00,1.605
2012-08-31 10:30:00,1.2175
2012-09-01 10:30:00,2.11375
2012-09-02 10:30:00,1.8275
2012-09-03 10:30:00,0.935
2012-09-04 10:30:00,2.1
2012-09-05 10:30:00,1.46625
2012-09-06 10:30:00,1.54875
2012-09-07 10:30:00,1.4775
2012-09-08 10:30:00,0.98
2012-09-09 10:30:00,1.87375
2012-09-10 10:30:00,1.9925
2012-09-11 10:30:00,2.60625
2012-09-12 10:30:00,2.29
2012-09-13 10:30:00,1.42625
2012-09-14 10:30:00,1.2925
2012-09-15 10:30:00,0.93125004
2012-09-16 10:30:00,1.1800001
2012-09-17 10:30:00,1.7362499
2012-09-18 10:30:00,1.5575
2012-09-19 10:30:00,1.3625
2012-09-20 10:30:00,2.19
2012-09-21 10:30:00,0.9775
2012-09-22 10:30:00,1.0675
2012-09-23 10:30:00,0.9525
2012-09-24 10:30:00,2.10625
2012-09-25 10:30:00,0.77375
2012-09-26 10:30:00,1.7
2012-09-27 10:30:00,2.325
2012-09-28 10:30:00,2.485
2012-09-29 10:30:00,1.85
2012-09-30 10:30:00,1.56125
2012-10-01 10:30:00,1.015
2012-10-02 10:30:00,1.72875
2012-10-03 10:30:00,1.005
2012-10-04 10:30:00,2.37
2012-10-05 10:30:00,2.045
2012-10-06 10:30:00,0.89125
2012-10-07 10:30:00,0.91625
2012-10-08 10:30:00,1.34125
2012-10-09 10:30:00,2.92375
2012-10-10 10:30:00,1.37625
2012-10-11 10:30:00,1.5
2012-10-12 10:30:00,1.625
2012-10-13 10:30:00,4.0225
2012-10-14 10:30:00,3.23625
2012-10-15 10:30:00,1.6899999
2012-10-16 10:30:00,3.065
2012-10-17 10:30:00,4.46
2012-10-18 10:30:00,3.30125
2012-10-19 10:30:00,1.2825
2012-10-20 10:30:00,3.3275
2012-10-21 10:30:00,1.64
2012-10-22 10:30:00,0.86
2012-10-23 10:30:00,1.975
2012-10-24 10:30:00,1.815
2012-10-25 10:30:00,1.5662501
2012-10-26 10:30:00,1.99125
2012-10-27 10:30:00,3.30375
2012-10-28 10:30:00,2.22375
2012-10-29 10:30:00,1.8525
2012-10-30 10:30:00,0.685
2012-10-31 10:30:00,1.0725
2012-11-01 10:30:00,1.96
2012-11-02 10:30:00,3.3175
2012-11-03 10:30:00,1.3
2012-11-04 10:30:00,0.95
2012-11-05 10:30:00,1.30875
2012-11-06 10:30:00,0.25
2012-11-07 10:30:00,1.5812501
2012-11-08 10:30:00,1.3475
2012-11-09 10:30:00,1.2825
2012-11-10 10:30:00,1.9925001
2012-11-11 10:30:00,3.2137501
2012-11-12 10:30:00,3.5825
2012-11-13 10:30:00,2.38125
2012-11-14 10:30:00,1.51625
2012-11-15 10:30:00,2.0025
2012-11-16 10:30:00,1.24875
2012-11-17 10:30:00,1.9275
2012-11-18 10:30:00,2.3174999
2012-11-19 10:30:00,1.56
2012-11-20 10:30:00,1.73625
2012-11-21 10:30:00,2.135
2012-11-22 10:30:00,2.89375
2012-11-23 10:30:00,2.44375
2012-11-24 10:30:00,0.7925
2012-11-25 10:30:00,3.265
2012-11-26 10:30:00,2.41375
2012-11-27 10:30:00,1.89875
2012-11-28 10:30:00,3.1775
2012-11-29 10:30:00,2.835
2012-11-30 10:30:00,2.29625
2012-12-01 10:30:00,1.0275
2012-12-02 10:30:00,1.1
2012-12-03 10:30:00,2.52
2012-12-04 10:30:00,2.485
2012-12-05 10:30:00,3.4175
2012-12-06 10:30:00,3.38625
2012-12-07 10:30:00,2.99375
2012-12-08 10:30:00,3.7625
2012-12-09 10:30:00,1.315
2012-12-10 10:30:00,1.085
2012-12-11 10:30:00,1.50625
2012-12-12 10:30:00,0.94624996
2012-12-13 10:30:00,2.065
2012-12-14 10:30:00,0.97125
2012-12-15 10:30:00,1.85625
2012-12-16 10:30:00,2.39
2012-12-17 10:30:00,3.2549999
2012-12-18 10:30:00,2.39
2012-12-19 10:30:00,2.7075
2012-12-20 10:30:00,1.7425001
2012-12-21 10:30:00,3.4625
2012-12-22 10:30:00,2.2137501
2012-12-23 10:30:00,2.39
2012-12-24 10:30:00,3.96875
2012-12-25 10:30:00,2.8475
2012-12-26 10:30:00,1.9125
2012-12-27 10:30:00,1.17875
2012-12-28 10:30:00,2.45625
2012-12-29 10:30:00,3.81875
2012-12-30 10:30:00,4.38125
2012-12-31 10:30:00,3.08375
2013-01-01 10:30:00,4.84875
2013-01-02 10:30:00,6.6775002
2013-01-03 10:30:00,5.6225
2013-01-04 10:30:00,5.175
2013-01-05 10:30:00,4.515
2013-01-06 10:30:00,2.5575001
2013-01-07 10:30:00,2.96625
2013-01-08 10:30:00,4.41
2013-01-09 10:30:00,3.53
2013-01-10 10:30:00,2.08375
2013-01-11 10:30:00,1.55625
2013-01-12 10:30:00,2.08625
2013-01-13 10:30:00,1.5237501
2013-01-14 10:30:00,1.8625
2013-01-15 10:30:00,1.62625
2013-01-16 10:30:00,3.4937499
2013-01-17 10:30:00,3.17
2013-01-18 10:30:00,2.75875
2013-01-19 10:30:00,1.6125
2013-01-20 10:30:00,1.69875
2013-01-21 10:30:00,1.8525
2013-01-22 10:30:00,1.51125
2013-01-23 10:30:00,3.4475
2013-01-24 10:30:00,6.03875
2013-01-25 10:30:00,2.97875
2013-01-26 10:30:00,1.8425
2013-01-27 10:30:00,2.90625
2013-01-28 10:30:00,1.7925
2013-01-29 10:30:00,2.6087499
2013-01-30 10:30:00,1.425
2013-01-31 10:30:00,4.06
2013-02-01 10:30:00,4.82875
2013-02-02 10:30:00,3.9025002
2013-02-03 10:30:00,2.095
2013-02-04 10:30:00,3.1087499
2013-02-05 10:30:00,2.865
2013-02-06 10:30:00,5.8625
2013-02-07 10:30:00,3.155
2013-02-08 10:30:00,2.555
2013-02-09 10:30:00,3.9975
2013-02-10 10:30:00,3.87375
2013-02-11 10:30:00,3.60875
2013-02-12 10:30:00,2.75
2013-02-13 10:30:00,4.74375
2013-02-14 10:30:00,4.07125
2013-02-15 10:30:00,2.07
2013-02-16 10:30:00,2.5575001
2013-02-17 10:30:00,5.225
2013-02-18 10:30:00,4.93125
2013-02-19 10:30:00,5.1875
2013-02-20 10:30:00,4.125
2013-02-21 10:30:00,4.51375
2013-02-22 10:30:00,5.72375
2013-02-23 10:30:00,4.18375
2013-02-24 10:30:00,2.7337499
2013-02-25 10:30:00,3.3825
2013-02-26 10:30:00,2.58125
2013-02-27 10:30:00,5.67875
2013-02-28 10:30:00,4.97625
2013-03-01 10:30:00,5.36625
2013-03-02 10:30:00,2.93875
2013-03-03 10:30:00,3.4524999
2013-03-04 10:30:00,3.8100002
2013-03-05 10:30:00,3.93875
2013-03-06 10:30:00,5.76875
2013-03-07 10:30:00,4.4975
2013-03-08 10:30:00,3.33
2013-03-09 10:30:00,4.22375
2013-03-10 10:30:00,3.29375
2013-03-11 10:30:00,3.3175
2013-03-12 10:30:00,5.62875
2013-03-13 10:30:00,4.22875
2013-03-14 10:30:00,3.56625
2013-03-15 10:30:00,3.55625
2013-03-16 10:30:00,5.15125
2013-03-17 10:30:00,5.33625
2013-03-18 10:30:00,5.34125
2013-03-19 10:30:00,5.78625
2013-03-20 10:30:00,3.63875
2013-03-21 10:30:00,6.8625
2013-03-22 10:30:00,5.04875
2013-03-23 10:30:00,2.59125
2013-03-24 10:30:00,4.02125
2013-03-25 10:30:00,3.70875
2013-03-26 10:30:00,6.43625
