time,tmin
2012-01-01,-25.631208
2012-01-02,-23.206295
2012-01-03,-22.34987
2012-01-04,-23.894848
2012-01-05,-26.25808
2012-01-06,-29.574957
2012-01-07,-30.322847
2012-01-08,-27.736368
2012-01-09,-26.894781
2012-01-10,-32.563435
2012-01-11,-34.28233
2012-01-12,-24.05166
2012-01-13,-23.034456
2012-01-14,-26.474184
2012-01-15,-27.412704
2012-01-16,-28.089025
2012-01-17,-25.977304
2012-01-18,-25.770023
2012-01-19,-29.100597
2012-01-20,-29.876892
2012-01-21,-33.18553
2012-01-22,-31.511402
2012-01-23,-34.93986
2012-01-24,-30.876326
2012-01-25,-32.55485
2012-01-26,-28.938858
2012-01-27,-30.457582
2012-01-28,-31.075985
2012-01-29,-32.36194
2012-01-30,-34.045467
2012-01-31,-35.163147
2012-02-01,-34.316437
2012-02-02,-31.711245
2012-02-03,-25.118435
2012-02-04,-23.870373
2012-02-05,-23.987371
2012-02-06,-23.12119
2012-02-07,-29.712631
2012-02-08,-24.741783
2012-02-09,-22.857916
2012-02-10,-28.349379
2012-02-11,-28.83931
2012-02-12,-27.669224
2012-02-13,-22.949808
2012-02-14,-23.001425
2012-02-15,-28.464348
2012-02-16,-28.378069
2012-02-17,-29.034622
2012-02-18,-26.42329
2012-02-19,-24.429232
2012-02-20,-27.200535
2012-02-21,-29.799664
2012-02-22,-21.579514
2012-02-23,-24.370102
2012-02-24,-20.713394
2012-02-25,-22.33802
2012-02-26,-24.765072
2012-02-27,-19.412973
2012-02-28,-19.890112
2012-02-29,-16.284637
2012-03-01,-19.760414
2012-03-02,-25.49749
2012-03-03,-24.39407
2012-03-04,-18.292933
2012-03-05,-12.368347
2012-03-06,-14.897647
2012-03-07,-15.84209
2012-03-08,-20.208029
2012-03-09,-24.691336
2012-03-10,-20.804966
2012-03-11,-26.054377
2012-03-12,-25.63707
2012-03-13,-19.982388
2012-03-14,-18.861109
2012-03-15,-22.714981
2012-03-16,-6.6481085
2012-03-17,-16.415607
2012-03-18,-23.280174
2012-03-19,-17.235197
2012-03-20,-16.795584
2012-03-21,-6.1895957
2012-03-22,-10.746223
2012-03-23,-9.926417
2012-03-24,-11.314487
2012-03-25,-15.477252
2012-03-26,-10.730418
2012-03-27,-5.0936594
2012-03-28,-8.084586
2012-03-29,-2.85949
2012-03-30,-9.036803
2012-03-31,-11.254652
2012-04-01,-18.46818
2012-04-02,-15.967143
2012-04-03,-12.838251
2012-04-04,-10.473452
2012-04-05,-9.941961
2012-04-06,-16.223629
2012-04-07,-8.01109
2012-04-08,-3.6847262
2012-04-09,-9.034448
2012-04-10,-0.5922141
2012-04-11,-6.534835
2012-04-12,-0.69612515
2012-04-13,-2.4006786
2012-04-14,-4.827144
2012-04-15,-6.507779
2012-04-16,-9.600439
2012-04-17,0.2589202
2012-04-18,-0.07871008
2012-04-19,6.961336
2012-04-20,5.8234673
2012-04-21,-0.18805838
2012-04-22,5.2796364
2012-04-23,9.318062
2012-04-24,2.4710195
2012-04-25,-3.305825
2012-04-26,-4.9916763
2012-04-27,-2.5517328
2012-04-28,-1.87465
2012-04-29,-3.1421506
2012-04-30,4.9860096
2012-05-01,-0.42834377
2012-05-02,5.1304917
2012-05-03,1.7806344
2012-05-04,2.3333118
2012-05-05,1.251398
2012-05-06,1.1083384
2012-05-07,2.2980702
2012-05-08,3.1215777
2012-05-09,8.360256
2012-05-10,9.631641
2012-05-11,6.8507857
2012-05-12,8.530087
2012-05-13,3.9376507
2012-05-14,1.0682144
2012-05-15,-0.39474726
2012-05-16,4.6751986
2012-05-17,0.074034214
2012-05-18,11.817966
2012-05-19,5.623672
2012-05-20,-0.22520924
2012-05-21,11.72614
2012-05-22,11.012172
2012-05-23,4.213023
2012-05-24,3.4466076
2012-05-25,4.1831737
2012-05-26,5.1146784
2012-05-27,1.9887314
2012-05-28,7.794059
2012-05-29,9.340555
2012-05-30,4.1017733
2012-05-31,2.2209167
2012-06-01,6.034027
2012-06-02,8.613018
2012-06-03,7.0220327
2012-06-04,8.490292
2012-06-05,8.950953
2012-06-06,9.77953
2012-06-07,10.269828
2012-06-08,8.465506
2012-06-09,6.7932863
2012-06-10,6.4697185
2012-06-11,6.514408
2012-06-12,7.0374236
2012-06-13,8.909138
2012-06-14,7.8213034
2012-06-15,9.06726
2012-06-16,9.534976
2012-06-17,12.737622
2012-06-18,8.191203
2012-06-19,10.445765
2012-06-20,13.083252
2012-06-21,13.611256
2012-06-22,15.86636
2012-06-23,14.510733
2012-06-24,18.59285
2012-06-25,16.466166
2012-06-26,15.361393
2012-06-27,14.068186
2012-06-28,18.40926
2012-06-29,15.236688
2012-06-30,15.343373
2012-07-01,12.915424
2012-07-02,11.947707
2012-07-03,12.1723585
2012-07-04,13.263738
2012-07-05,13.703817
2012-07-06,14.415481
2012-07-07,16.33215
2012-07-08,18.755875
2012-07-09,17.276638
2012-07-10,16.118862
2012-07-11,14.943485
2012-07-12,14.357653
2012-07-13,11.871675
2012-07-14,14.152536
2012-07-15,17.007238
2012-07-16,13.415991
2012-07-17,19.488735
2012-07-18,16.835413
2012-07-19,16.203444
2012-07-20,19.010658
2012-07-21,16.817726
2012-07-22,16.052296
2012-07-23,11.609614
2012-07-24,13.804851
2012-07-25,14.033482
2012-07-26,17.501873
2012-07-27,15.120397
2012-07-28,14.862907
2012-07-29,13.858512
2012-07-30,12.373595
2012-07-31,10.793756
2012-08-01,10.070044
2012-08-02,16.29206
2012-08-03,14.145538
2012-08-04,17.041567
2012-08-05,14.153927
2012-08-06,15.446811
2012-08-07,16.881346
2012-08-08,18.34093
2012-08-09,12.157191
2012-08-10,11.18497
2012-08-11,9.851466
2012-08-12,9.422831
2012-08-13,9.192684
2012-08-14,12.938263
2012-08-15,10.270676
2012-08-16,10.256047
2012-08-17,15.966495
