time,tmin
2012-01-01,-24.105003
2012-01-02,-22.607817
2012-01-03,-20.866007
2012-01-04,-22.630095
2012-01-05,-25.754108
2012-01-06,-26.963589
2012-01-07,-28.099396
2012-01-08,-24.401926
2012-01-09,-27.094446
2012-01-10,-27.897346
2012-01-11,-29.92809
2012-01-12,-27.438728
2012-01-13,-26.482937
2012-01-14,-26.615536
2012-01-15,-26.922684
2012-01-16,-26.522043
2012-01-17,-24.80805
2012-01-18,-27.224972
2012-01-19,-27.381104
2012-01-20,-27.632399
2012-01-21,-29.996738
2012-01-22,-28.574402
2012-01-23,-34.3158
2012-01-24,-28.259209
2012-01-25,-31.064125
2012-01-26,-27.589922
2012-01-27,-28.29051
2012-01-28,-30.83831
2012-01-29,-30.794928
2012-01-30,-31.864422
2012-01-31,-32.368042
2012-02-01,-32.039993
2012-02-02,-27.93254
2012-02-03,-22.841633
2012-02-04,-20.576263
2012-02-05,-23.442753
2012-02-06,-21.789259
2012-02-07,-27.158073
2012-02-08,-23.017834
2012-02-09,-23.116064
2012-02-10,-26.013906
2012-02-11,-25.485676
2012-02-12,-27.606064
2012-02-13,-23.267427
2012-02-14,-20.791235
2012-02-15,-24.30658
2012-02-16,-25.584812
2012-02-17,-26.030605
2012-02-18,-23.581121
2012-02-19,-25.10623
2012-02-20,-23.847115
2012-02-21,-28.348053
2012-02-22,-22.24411
2012-02-23,-21.242226
2012-02-24,-18.384737
2012-02-25,-20.158642
2012-02-26,-23.563898
2012-02-27,-20.439583
2012-02-28,-18.574677
2012-02-29,-15.1580715
2012-03-01,-18.332312
2012-03-02,-24.079569
2012-03-03,-23.728622
2012-03-04,-16.819986
2012-03-05,-11.758531
2012-03-06,-15.523351
2012-03-07,-18.118027
2012-03-08,-17.951292
2012-03-09,-23.9497
2012-03-10,-21.312044
2012-03-11,-26.550076
2012-03-12,-23.079689
2012-03-13,-19.937157
2012-03-14,-16.517384
2012-03-15,-22.327934
2012-03-16,-4.0835657
2012-03-17,-15.276086
2012-03-18,-21.503567
2012-03-19,-16.578661
2012-03-20,-16.472343
2012-03-21,-10.113364
2012-03-22,-9.15608
2012-03-23,-7.271487
2012-03-24,-9.227313
2012-03-25,-13.259069
2012-03-26,-8.527292
2012-03-27,-2.7533512
2012-03-28,-8.353173
2012-03-29,-3.358021
2012-03-30,-7.971364
2012-03-31,-10.196398
2012-04-01,-16.306107
2012-04-02,-14.348814
2012-04-03,-11.360293
2012-04-04,-8.096252
2012-04-05,-9.548529
2012-04-06,-14.103231
2012-04-07,-9.768857
2012-04-08,-2.8588285
2012-04-09,-7.8531575
2012-04-10,0.36742687
2012-04-11,-8.270666
2012-04-12,0.90057236
2012-04-13,-4.120058
2012-04-14,-7.301261
2012-04-15,-3.9845452
2012-04-16,-9.0394945
2012-04-17,-2.5373294
2012-04-18,-0.19595528
2012-04-19,5.5088315
2012-04-20,5.785962
2012-04-21,-0.90615654
2012-04-22,3.6546383
2012-04-23,3.8147798
2012-04-24,6.873722
2012-04-25,-0.90768147
2012-04-26,-6.4921374
2012-04-27,-2.0835125
2012-04-28,-0.42232132
2012-04-29,-1.8284779
2012-04-30,2.0344734
2012-05-01,-0.74117327
2012-05-02,3.4751613
2012-05-03,2.2140574
2012-05-04,4.177266
2012-05-05,1.9210851
2012-05-06,2.5586889
2012-05-07,1.3564582
2012-05-08,3.3047452
2012-05-09,8.883643
2012-05-10,9.726448
2012-05-11,3.5959039
2012-05-12,7.9495487
2012-05-13,3.46462
2012-05-14,-0.18158713
2012-05-15,-0.5462897
2012-05-16,4.9168577
2012-05-17,0.5710716
2012-05-18,6.677516
2012-05-19,8.853896
2012-05-20,1.8579135
2012-05-21,7.8768992
2012-05-22,13.368328
2012-05-23,3.8934462
2012-05-24,2.053623
2012-05-25,4.0745068
2012-05-26,6.0143623
2012-05-27,3.4063601
2012-05-28,8.206055
2012-05-29,9.8564625
2012-05-30,5.720367
2012-05-31,2.58431
2012-06-01,5.870614
2012-06-02,9.611684
2012-06-03,8.951392
2012-06-04,9.219686
2012-06-05,10.314003
2012-06-06,10.919802
2012-06-07,9.043955
2012-06-08,10.577175
2012-06-09,8.159911
2012-06-10,5.221563
2012-06-11,4.8859763
2012-06-12,8.459167
2012-06-13,8.982518
2012-06-14,9.3330555
2012-06-15,10.993641
2012-06-16,9.137488
2012-06-17,11.736246
2012-06-18,9.697601
2012-06-19,11.231172
2012-06-20,12.786539
2012-06-21,13.099158
2012-06-22,15.047156
2012-06-23,13.299177
2012-06-24,18.344923
2012-06-25,15.837818
2012-06-26,14.0955
2012-06-27,15.684072
2012-06-28,17.716597
2012-06-29,16.469116
2012-06-30,14.171914
2012-07-01,13.871445
2012-07-02,12.197295
2012-07-03,13.388844
2012-07-04,13.693036
2012-07-05,14.562691
2012-07-06,14.512606
2012-07-07,16.451542
2012-07-08,17.590576
2012-07-09,16.96985
2012-07-10,16.303598
2012-07-11,15.343494
2012-07-12,16.442293
2012-07-13,13.243096
2012-07-14,13.463497
2012-07-15,14.844506
2012-07-16,14.812556
2012-07-17,17.024448
2012-07-18,15.94796
2012-07-19,17.079067
2012-07-20,17.717978
2012-07-21,17.041265
2012-07-22,15.564801
2012-07-23,10.441956
2012-07-24,14.848887
2012-07-25,14.952925
2012-07-26,17.632658
2012-07-27,14.9966755
2012-07-28,15.282363
2012-07-29,14.164904
2012-07-30,14.131384
2012-07-31,11.461307
2012-08-01,9.851952
2012-08-02,15.9639
2012-08-03,11.17075
2012-08-04,14.865227
2012-08-05,14.760576
2012-08-06,15.841652
2012-08-07,15.478237
2012-08-08,19.87119
2012-08-09,11.518232
2012-08-10,9.220454
2012-08-11,9.436135
2012-08-12,11.103568
2012-08-13,9.329798
2012-08-14,10.557056
2012-08-15,11.366577
2012-08-16,9.385263
2012-08-17,12.634253
2012-08-18,13.261576
2012-08-19,7.817126
2012-08-20,11.657229
2012-08-21,3.9484742
2012-08-22,4.1228323
2012-08-23,8.092726
2012-08-24,9.25632
2012-08-25,11.317619
2012-08-26,12.325953
2012-08-27,12.916814
2012-08-28,12.676418
2012-08-29,11.602037
2012-08-30,8.278985
2012-08-31,9.656279
2012-09-01,12.352825
2012-09-02,10.477842
2012-09-03,9.215931
2012-09-04,8.0396385
2012-09-05,8.61862
2012-09-06,4.53943
2012-09-07,4.6686773
2012-09-08,8.78576
2012-09-09,9.697133
2012-09-10,9.371661
2012-09-11,7.6087985
2012-09-12,6.6346693
2012-09-13,6.5425315
2012-09-14,4.8966036
2012-09-15,4.1711655
2012-09-16,3.7686698
2012-09-17,4.1088824
2012-09-18,4.641531
2012-09-19,4.9517617
2012-09-20,3.6157966
2012-09-21,5.2309647
2012-09-22,5.9168396
2012-09-23,5.01827
2012-09-24,7.5731554
2012-09-25,7.7554464
2012-09-26,4.4878435
2012-09-27,0.61164165
2012-09-28,1.8574957
2012-09-29,1.3661407
2012-09-30,-3.0803251
2012-10-01,-0.86296064
2012-10-02,-0.25925684
2012-10-03,5.84403
2012-10-04,4.302791
2012-10-05,1.5424283
2012-10-06,-2.4987283
2012-10-07,-0.8820373
2012-10-08,1.5428128
2012-10-09,2.8023267
2012-10-10,-1.6193051
2012-10-11,-6.005404
2012-10-12,-2.0672476
2012-10-13,-1.2382888
2012-10-14,-1.9646215
2012-10-15,-1.9027987
2012-10-16,-1.6578052
2012-10-17,-3.8044164
2012-10-18,-3.3784645
2012-10-19,-10.377475
2012-10-20,-7.0971527
2012-10-21,-9.837811
2012-10-22,-9.230368
2012-10-23,-6.6991243
2012-10-24,-2.5463626
2012-10-25,-6.2866535
2012-10-26,-4.4786267
2012-10-27,-1.1085873
2012-10-28,-6.520384
2012-10-29,-9.142447
2012-10-30,-12.45364
2012-10-31,-14.011142
2012-11-01,-13.389442
2012-11-02,-10.181969
2012-11-03,-8.29236
2012-11-04,-5.151766
2012-11-05,-8.917397
2012-11-06,-11.842736
2012-11-07,-11.040728
2012-11-08,-8.656519
2012-11-09,-12.946523
2012-11-10,-9.450499
2012-11-11,-4.9230995
2012-11-12,-8.312968
2012-11-13,-8.378947
2012-11-14,-10.614369
2012-11-15,-12.947897
2012-11-16,-14.021205
2012-11-17,-11.271803
2012-11-18,-16.01903
2012-11-19,-16.786032
2012-11-20,-18.963278
2012-11-21,-14.065312
2012-11-22,-16.680075
2012-11-23,-18.919573
2012-11-24,-21.608202
2012-11-25,-18.892061
2012-11-26,-17.768232
2012-11-27,-19.734983
2012-11-28,-20.382072
2012-11-29,-20.782305
2012-11-30,-24.71955
2012-12-01,-27.98364
2012-12-02,-19.894354
2012-12-03,-25.62573
2012-12-04,-25.145527
2012-12-05,-23.742132
2012-12-06,-25.701075
2012-12-07,-29.150599
2012-12-08,-28.181597
2012-12-09,-21.24712
2012-12-10,-23.25389
2012-12-11,-23.426815
2012-12-12,-26.02386
2012-12-13,-20.618048
2012-12-14,-22.054386
2012-12-15,-26.468697
2012-12-16,-27.854727
2012-12-17,-25.426908
2012-12-18,-27.434654
2012-12-19,-31.903996
2012-12-20,-23.947573
2012-12-21,-21.549425
2012-12-22,-28.159704
2012-12-23,-30.77288
2012-12-24,-32.568264
2012-12-25,-28.284258
2012-12-26,-30.518183
2012-12-27,-30.477215
2012-12-28,-24.195414
2012-12-29,-24.134577
2012-12-30,-28.948662
2012-12-31,-32.835796
2013-01-01,-32.604607
2013-01-02,-30.826265
2013-01-03,-26.212109
2013-01-04,-24.0716
2013-01-05,-22.836798
2013-01-06,-27.64052
2013-01-07,-29.255594
2013-01-08,-30.900326
2013-01-09,-29.010204
2013-01-10,-34.050663
2013-01-11,-30.779762
2013-01-12,-31.009077
2013-01-13,-28.447256
2013-01-14,-30.642052
2013-01-15,-25.681562
2013-01-16,-27.950802
2013-01-17,-23.195467
2013-01-18,-23.721424
2013-01-19,-27.162704
2013-01-20,-27.646881
2013-01-21,-27.825386
2013-01-22,-29.658007
2013-01-23,-25.794111
2013-01-24,-26.110914
2013-01-25,-28.819387
2013-01-26,-30.892471
2013-01-27,-30.576036
2013-01-28,-21.276747
2013-01-29,-22.367302
2013-01-30,-20.206951
2013-01-31,-26.070885
2013-02-01,-23.11883
2013-02-02,-27.36068
2013-02-03,-28.353933
2013-02-04,-24.13565
2013-02-05,-26.75032
2013-02-06,-29.105938
2013-02-07,-30.766546
2013-02-08,-28.321245
2013-02-09,-25.78524
2013-02-10,-27.67207
2013-02-11,-24.024435
2013-02-12,-27.062029
2013-02-13,-21.023975
2013-02-14,-22.57233
2013-02-15,-26.946583
2013-02-16,-28.77216
2013-02-17,-25.288729
2013-02-18,-24.536102
2013-02-19,-27.056236
2013-02-20,-29.001625
2013-02-21,-24.757765
2013-02-22,-20.006334
2013-02-23,-21.361483
2013-02-24,-26.253857
2013-02-25,-25.017397
2013-02-26,-14.3926
2013-02-27,-17.73004
2013-02-28,-19.717257
2013-03-01,-16.56174
2013-03-02,-22.843294
2013-03-03,-20.304935
2013-03-04,-15.846219
2013-03-05,-11.479831
2013-03-06,-13.30122
2013-03-07,-12.896248
2013-03-08,-18.566175
2013-03-09,-18.010427
2013-03-10,-33.123432
2013-03-11,-23.296604
2013-03-12,-15.023521
2013-03-13,-21.278189
2013-03-14,-25.996304
2013-03-15,-13.479338
2013-03-16,-18.158583
2013-03-17,-9.913424
2013-03-18,-17.690077
2013-03-19,-21.964764
2013-03-20,-21.383682
2013-03-21,-18.403004
2013-03-22,-18.268892
2013-03-23,-21.760578
2013-03-24,-16.707342
2013-03-25,-17.800364
2013-03-26,-13.495216
2013-03-27,-10.98838
2013-03-28,-11.555847
2013-03-29,-15.192345
2013-03-30,-16.831238
2013-03-31,-16.586184
2013-04-01,-12.603046
2013-04-02,-9.049625
2013-04-03,-6.236109
2013-04-04,-8.210323
2013-04-05,-7.0001836
2013-04-06,-15.872796
2013-04-07,-10.470785
2013-04-08,-5.954629
2013-04-09,-10.6450815
2013-04-10,-7.5748096
2013-04-11,-7.384012
2013-04-12,-7.9330425
2013-04-13,-7.1019516
2013-04-14,-8.110876
2013-04-15,-8.456953
2013-04-16,-7.1236286
2013-04-17,-9.260967
2013-04-18,-5.6197815
2013-04-19,-5.722166
2013-04-20,-5.605444
2013-04-21,-4.508087
2013-04-22,-6.1882143
2013-04-23,0.29124272
2013-04-24,0.7791096
2013-04-25,0.48718423
2013-04-26,-2.508453
2013-04-27,-0.47340107
2013-04-28,0.9591358
2013-04-29,1.361053
2013-04-30,2.670358
2013-05-01,2.2456107
2013-05-02,2.8759985
2013-05-03,-0.5000428
2013-05-04,2.4085746
2013-05-05,6.860504
2013-05-06,5.27095
2013-05-07,5.655052
2013-05-08,9.59893
2013-05-09,10.5060005
2013-05-10,6.1402054
2013-05-11,2.7237258
2013-05-12,3.487115
2013-05-13,1.3373876
2013-05-14,6.422282
2013-05-15,3.1742992
2013-05-16,6.7028
2013-05-17,11.704811
2013-05-18,6.3240395
2013-05-19,11.230755
2013-05-20,6.193635
2013-05-21,5.1863866
2013-05-22,4.363955
2013-05-23,6.5621157
2013-05-24,9.584295
2013-05-25,6.524696
2013-05-26,9.919533
2013-05-27,15.914484
2013-05-28,12.500923
2013-05-29,8.372263
2013-05-30,6.979462
2013-05-31,6.875233
2013-06-01,10.534563
2013-06-02,0.75927544
2013-06-03,8.471403
2013-06-04,4.8547907
2013-06-05,7.575064
2013-06-06,11.063413
2013-06-07,14.027788
2013-06-08,12.907745
2013-06-09,9.355965
2013-06-10,7.720455
2013-06-11,5.73447
2013-06-12,10.005473
2013-06-13,7.1906176
2013-06-14,14.7730665
2013-06-15,13.527089
2013-06-16,12.483763
2013-06-17,10.5032625
2013-06-18,10.716308
2013-06-19,12.046794
2013-06-20,10.206227
2013-06-21,10.900797
2013-06-22,11.252225
2013-06-23,11.076771
2013-06-24,11.97979
2013-06-25,14.417168
2013-06-26,15.412502
2013-06-27,15.60035
2013-06-28,14.009498
2013-06-29,13.733127
2013-06-30,14.684431
2013-07-01,14.504608
2013-07-02,14.560598
2013-07-03,14.536733
2013-07-04,17.076889
2013-07-05,14.130764
2013-07-06,10.94755
2013-07-07,15.55508
2013-07-08,15.335454
2013-07-09,12.367134
2013-07-10,10.568256
2013-07-11,12.026371
2013-07-12,14.1786375
2013-07-13,13.26923
2013-07-14,12.0893345
2013-07-15,14.6754055
2013-07-16,17.718641
2013-07-17,10.334845
2013-07-18,14.50166
2013-07-19,15.124598
2013-07-20,13.526575
2013-07-21,12.328537
2013-07-22,13.893942
2013-07-23,15.969705
2013-07-24,14.337641
2013-07-25,15.543807
2013-07-26,16.400408
2013-07-27,17.809572
2013-07-28,14.971123
2013-07-29,13.977183
2013-07-30,13.788458
2013-07-31,17.26929
2013-08-01,16.310266
2013-08-02,14.244751
2013-08-03,14.293737
2013-08-04,14.936534
2013-08-05,14.672668
2013-08-06,13.648988
2013-08-07,17.566532
2013-08-08,14.890537
2013-08-09,16.488594
2013-08-10,16.52605
2013-08-11,12.973125
2013-08-12,20.613983
2013-08-13,15.190682
2013-08-14,13.870588
2013-08-15,13.852155
2013-08-16,15.744772
2013-08-17,15.029245
2013-08-18,13.394634
2013-08-19,11.614267
2013-08-20,10.053112
2013-08-21,13.675774
2013-08-22,10.741915
2013-08-23,10.880297
2013-08-24,10.376541
2013-08-25,6.9420576
2013-08-26,7.132827
2013-08-27,11.749106
2013-08-28,10.78464
2013-08-29,8.408025
2013-08-30,6.6963677
2013-08-31,3.5664425
2013-09-01,6.49812
2013-09-02,6.3756037
2013-09-03,4.2831144
2013-09-04,9.185211
2013-09-05,8.105164
2013-09-06,9.101188
2013-09-07,9.148567
2013-09-08,7.6847115
2013-09-09,8.561763
2013-09-10,7.062482
2013-09-11,1.1103733
2013-09-12,4.1233435
2013-09-13,9.262875
2013-09-14,6.864498
2013-09-15,3.7117693
2013-09-16,0.12262118
2013-09-17,0.07560557
2013-09-18,0.022911549
2013-09-19,8.828798
2013-09-20,6.2229586
2013-09-21,1.4284306
2013-09-22,4.563631
2013-09-23,5.91133
2013-09-24,-1.7032218
2013-09-25,0.17554975
2013-09-26,-1.3363371
2013-09-27,0.67967594
2013-09-28,1.1110582
2013-09-29,-1.5119724
2013-09-30,-2.524837
2013-10-01,4.0329804
2013-10-02,-1.0173917
2013-10-03,-5.0648775
2013-10-04,-5.2693357
2013-10-05,-2.1649008
2013-10-06,0.99078226
2013-10-07,3.2227468
2013-10-08,-5.9426985
2013-10-09,1.3165872
2013-10-10,3.620915
2013-10-11,0.59106994
2013-10-12,-1.2226447
2013-10-13,-4.2117367
2013-10-14,-2.7780838
2013-10-15,-7.7126226
2013-10-16,-4.18693
2013-10-17,-8.580301
2013-10-18,-4.4950495
2013-10-19,-2.39452
2013-10-20,-2.8933687
2013-10-21,-3.854017
2013-10-22,2.9750934
2013-10-23,-0.7573907
2013-10-24,-1.9579111
2013-10-25,-1.9953308
2013-10-26,-5.3696995
2013-10-27,-4.0651946
2013-10-28,-3.992753
2013-10-29,-8.746673
2013-10-30,-6.9790363
2013-10-31,-3.2948563
2013-11-01,-7.147747
2013-11-02,-3.1274755
2013-11-03,-2.0107365
2013-11-04,-6.021184
2013-11-05,-5.428312
2013-11-06,-2.9008067
2013-11-07,-8.526735
2013-11-08,-8.109276
2013-11-09,-11.837861
2013-11-10,-13.0243635
2013-11-11,-15.442665
2013-11-12,-12.128716
2013-11-13,-10.215027
2013-11-14,-7.751916
2013-11-15,-9.975378
2013-11-16,-8.669914
2013-11-17,-10.078508
2013-11-18,-12.806903
2013-11-19,-12.494519
2013-11-20,-12.090724
2013-11-21,-11.199194
2013-11-22,-11.208216
2013-11-23,-9.250226
2013-11-24,-10.313823
2013-11-25,-13.910117
2013-11-26,-16.284744
2013-11-27,-16.977722
2013-11-28,-15.727241
2013-11-29,-16.357498
2013-11-30,-15.190268
2013-12-01,-10.034928
2013-12-02,-9.929148
2013-12-03,-9.293827
2013-12-04,-8.779791
2013-12-05,-13.282114
2013-12-06,-16.618502
2013-12-07,-15.256314
2013-12-08,-12.222721
2013-12-09,-17.248394
2013-12-10,-18.681807
2013-12-11,-23.431698
2013-12-12,-22.631298
2013-12-13,-24.786392
2013-12-14,-21.941624
2013-12-15,-16.478962
2013-12-16,-21.314127
2013-12-17,-23.799206
2013-12-18,-15.418116
2013-12-19,-17.733276
2013-12-20,-21.545624
2013-12-21,-21.077526
2013-12-22,-22.590664
2013-12-23,-19.477661
2013-12-24,-22.591892
2013-12-25,-20.712904
2013-12-26,-21.194075
2013-12-27,-24.560358
2013-12-28,-23.116217
2013-12-29,-17.968208
2013-12-30,-16.330523
2013-12-31,-16.543728
2014-01-01,-19.297897
2014-01-02,-21.165365
2014-01-03,-19.265778
2014-01-04,-22.33221
2014-01-05,-24.658283
2014-01-06,-21.780127
2014-01-07,-21.089832
2014-01-08,-22.970095
2014-01-09,-26.882286
2014-01-10,-22.922903
2014-01-11,-27.580757
2014-01-12,-26.796137
2014-01-13,-27.902447
2014-01-14,-27.024868
2014-01-15,-21.201834
2014-01-16,-27.604097
2014-01-17,-24.791407
2014-01-18,-26.439222
2014-01-19,-22.272173
2014-01-20,-22.181812
2014-01-21,-21.530634
2014-01-22,-22.915852
2014-01-23,-21.645777
2014-01-24,-17.751858
2014-01-25,-19.29794
2014-01-26,-26.954128
2014-01-27,-22.294369
2014-01-28,-24.719952
2014-01-29,-22.5218
2014-01-30,-20.63315
2014-01-31,-27.14223
2014-02-01,-22.520363
2014-02-02,-21.195335
