time,tmin
2012-01-01,-20.596987
2012-01-02,-18.598568
2012-01-03,-18.973406
2012-01-04,-18.497747
2012-01-05,-18.871122
2012-01-06,-18.819403
2012-01-07,-20.525394
2012-01-08,-19.513983
2012-01-09,-23.28651
2012-01-10,-22.111937
2012-01-11,-25.264963
2012-01-12,-22.001879
2012-01-13,-20.818893
2012-01-14,-19.837353
2012-01-15,-17.86269
2012-01-16,-18.696314
2012-01-17,-22.504084
2012-01-18,-22.14306
2012-01-19,-21.312712
2012-01-20,-20.127424
2012-01-21,-23.228985
2012-01-22,-22.173609
2012-01-23,-24.824604
2012-01-24,-23.026672
2012-01-25,-23.250088
2012-01-26,-20.381397
2012-01-27,-22.968105
2012-01-28,-24.261103
2012-01-29,-25.920649
2012-01-30,-24.626749
2012-01-31,-26.084595
2012-02-01,-25.16255
2012-02-02,-21.21839
2012-02-03,-17.86156
2012-02-04,-18.930258
2012-02-05,-16.687445
2012-02-06,-15.172373
2012-02-07,-20.687624
2012-02-08,-19.854664
2012-02-09,-19.259523
2012-02-10,-19.427887
2012-02-11,-19.635717
2012-02-12,-20.406311
2012-02-13,-16.30198
2012-02-14,-14.20102
2012-02-15,-16.017603
2012-02-16,-18.495747
2012-02-17,-19.393394
2012-02-18,-17.966637
2012-02-19,-13.639108
2012-02-20,-18.419432
2012-02-21,-21.82037
2012-02-22,-16.978363
2012-02-23,-16.660269
2012-02-24,-12.00705
2012-02-25,-13.55965
2012-02-26,-17.421564
2012-02-27,-14.638987
2012-02-28,-11.898998
2012-02-29,-5.3363686
2012-03-01,-12.155319
2012-03-02,-15.8296
2012-03-03,-16.908918
2012-03-04,-9.449705
2012-03-05,-5.8062572
2012-03-06,-7.945151
2012-03-07,-13.855708
2012-03-08,-12.282755
2012-03-09,-15.3469715
2012-03-10,-11.619365
2012-03-11,-15.6584835
2012-03-12,-14.980239
2012-03-13,-12.5959
2012-03-14,-10.431709
2012-03-15,-8.265041
2012-03-16,2.8933048
2012-03-17,-12.888418
2012-03-18,-15.094663
2012-03-19,-10.450865
2012-03-20,-10.882609
2012-03-21,-1.3627644
2012-03-22,-5.1698246
2012-03-23,-1.7727674
2012-03-24,-3.0500507
2012-03-25,-5.8331165
2012-03-26,-4.400901
2012-03-27,1.7648137
2012-03-28,-5.080042
2012-03-29,-1.6761917
2012-03-30,-5.455843
2012-03-31,-5.8484044
2012-04-01,-11.1870365
2012-04-02,-9.61445
2012-04-03,-6.666236
2012-04-04,-2.1033874
2012-04-05,-5.1132803
2012-04-06,-8.841974
2012-04-07,-5.6910634
2012-04-08,1.889886
2012-04-09,-2.0717916
2012-04-10,4.130293
2012-04-11,-2.6299024
2012-04-12,5.3089437
2012-04-13,3.4251204
2012-04-14,-0.026649237
2012-04-15,2.8702269
2012-04-16,-3.0885625
2012-04-17,5.37325
2012-04-18,5.1801476
2012-04-19,11.120984
2012-04-20,10.358188
2012-04-21,4.67136
2012-04-22,9.256276
2012-04-23,7.7451057
2012-04-24,13.405422
2012-04-25,7.737269
2012-04-26,-0.33293653
2012-04-27,3.1460006
2012-04-28,3.368871
2012-04-29,3.1521385
2012-04-30,8.027106
2012-05-01,4.426923
2012-05-02,11.200805
2012-05-03,8.232799
2012-05-04,9.985072
2012-05-05,10.344101
2012-05-06,6.2595577
2012-05-07,6.1332984
2012-05-08,8.89357
2012-05-09,11.379677
2012-05-10,11.900696
2012-05-11,9.678709
2012-05-12,9.878635
2012-05-13,8.129708
2012-05-14,4.9093523
2012-05-15,3.2069812
2012-05-16,6.2338653
2012-05-17,4.2555013
2012-05-18,12.512472
2012-05-19,16.227959
2012-05-20,9.978573
2012-05-21,17.83762
2012-05-22,15.96441
2012-05-23,8.87396
2012-05-24,7.6115503
2012-05-25,9.422751
2012-05-26,10.211281
2012-05-27,10.09552
2012-05-28,13.388863
2012-05-29,13.0385475
2012-05-30,13.660468
2012-05-31,7.962198
2012-06-01,13.697649
2012-06-02,14.197079
2012-06-03,13.261016
2012-06-04,14.3902855
2012-06-05,13.514794
2012-06-06,15.554098
2012-06-07,14.078575
2012-06-08,16.064003
2012-06-09,12.841955
2012-06-10,10.769693
2012-06-11,12.319878
2012-06-12,12.1418495
2012-06-13,12.522988
2012-06-14,14.327496
2012-06-15,15.117663
2012-06-16,14.904736
2012-06-17,15.432318
2012-06-18,13.69476
2012-06-19,15.676656
2012-06-20,17.651932
2012-06-21,18.370167
2012-06-22,18.66168
2012-06-23,18.500124
2012-06-24,19.913069
2012-06-25,19.41227
2012-06-26,21.687958
2012-06-27,20.191412
2012-06-28,19.547934
2012-06-29,18.788742
2012-06-30,17.030313
2012-07-01,17.90242
2012-07-02,15.3734255
2012-07-03,17.075592
2012-07-04,17.847427
2012-07-05,17.794027
2012-07-06,19.40472
2012-07-07,20.28066
2012-07-08,21.113708
2012-07-09,20.102488
2012-07-10,21.384848
2012-07-11,19.76383
2012-07-12,18.740393
2012-07-13,17.627766
2012-07-14,17.784908
2012-07-15,21.005022
2012-07-16,20.968271
2012-07-17,22.60563
2012-07-18,22.175524
2012-07-19,21.337723
2012-07-20,22.599834
2012-07-21,21.352003
2012-07-22,18.835903
2012-07-23,14.747068
2012-07-24,20.681782
2012-07-25,21.654589
2012-07-26,22.50609
2012-07-27,19.88754
2012-07-28,18.040785
2012-07-29,17.497374
2012-07-30,16.397757
2012-07-31,16.12607
2012-08-01,15.598686
2012-08-02,18.523901
2012-08-03,15.230183
2012-08-04,19.731459
2012-08-05,19.362093
2012-08-06,20.122768
2012-08-07,21.380133
2012-08-08,24.342472
2012-08-09,15.60498
2012-08-10,14.981489
2012-08-11,13.934305
2012-08-12,14.279102
2012-08-13,14.629005
2012-08-14,15.418009
2012-08-15,17.164246
2012-08-16,14.825802
2012-08-17,20.299328
2012-08-18,19.33929
2012-08-19,14.502368
2012-08-20,17.27845
2012-08-21,9.1457615
2012-08-22,10.18148
2012-08-23,13.586723
2012-08-24,15.529687
2012-08-25,16.72218
2012-08-26,19.883049
2012-08-27,18.513384
2012-08-28,18.511963
2012-08-29,20.539497
2012-08-30,14.512167
2012-08-31,14.932512
2012-09-01,22.625835
2012-09-02,11.73798
2012-09-03,10.225979
2012-09-04,10.923908
2012-09-05,9.064859
2012-09-06,8.077818
2012-09-07,9.845456
2012-09-08,14.925208
2012-09-09,14.310197
2012-09-10,13.857454
2012-09-11,10.613858
2012-09-12,9.696362
2012-09-13,10.02605
2012-09-14,8.020214
2012-09-15,7.887783
2012-09-16,8.520096
2012-09-17,8.31105
2012-09-18,9.553178
2012-09-19,8.565048
2012-09-20,9.753227
2012-09-21,11.102954
2012-09-22,11.940884
2012-09-23,10.762486
2012-09-24,10.627592
2012-09-25,11.145144
2012-09-26,8.933376
2012-09-27,6.2974234
2012-09-28,8.323939
2012-09-29,7.00286
2012-09-30,2.201933
2012-10-01,3.4527335
2012-10-02,4.999386
2012-10-03,9.154583
2012-10-04,6.615136
2012-10-05,7.107779
2012-10-06,1.9780912
2012-10-07,3.0916185
2012-10-08,5.486431
2012-10-09,8.589457
2012-10-10,3.0542536
2012-10-11,-1.7387711
2012-10-12,1.8892331
2012-10-13,2.2033067
2012-10-14,0.89619374
2012-10-15,1.0538013
2012-10-16,0.6594598
2012-10-17,-0.50390667
2012-10-18,-1.704975
2012-10-19,-2.8292632
2012-10-20,-1.5305157
2012-10-21,-4.994482
2012-10-22,-4.92385
2012-10-23,-2.636844
2012-10-24,0.6816124
2012-10-25,-1.9123396
2012-10-26,1.7620764
2012-10-27,5.515422
2012-10-28,-2.6786683
2012-10-29,-4.486268
2012-10-30,-8.592286
2012-10-31,-9.695035
2012-11-01,-9.680398
2012-11-02,-4.4054103
2012-11-03,-1.7869419
2012-11-04,-1.0620923
2012-11-05,-3.3010144
2012-11-06,-8.294818
2012-11-07,-8.5473
2012-11-08,-3.4082866
2012-11-09,-7.439726
