time,tmin
2012-01-01,-23.958078
2012-01-02,-22.534744
2012-01-03,-20.877745
2012-01-04,-21.803534
2012-01-05,-25.184256
2012-01-06,-27.314054
2012-01-07,-28.55347
2012-01-08,-25.41775
2012-01-09,-25.952215
2012-01-10,-30.279911
2012-01-11,-32.641434
2012-01-12,-24.696518
2012-01-13,-23.587873
2012-01-14,-25.522724
2012-01-15,-26.305187
2012-01-16,-26.42449
2012-01-17,-25.349335
2012-01-18,-25.922476
2012-01-19,-28.118855
2012-01-20,-27.253664
2012-01-21,-30.630873
2012-01-22,-28.564243
2012-01-23,-32.71721
2012-01-24,-28.514946
2012-01-25,-30.532701
2012-01-26,-26.99385
2012-01-27,-28.055666
2012-01-28,-29.026176
2012-01-29,-29.775572
2012-01-30,-31.51516
2012-01-31,-32.77877
2012-02-01,-31.782652
2012-02-02,-28.727818
2012-02-03,-23.101133
2012-02-04,-21.783594
2012-02-05,-22.552156
2012-02-06,-21.855223
2012-02-07,-26.99909
2012-02-08,-23.1264
2012-02-09,-22.228653
2012-02-10,-26.047596
2012-02-11,-26.088585
2012-02-12,-26.275206
2012-02-13,-21.384344
2012-02-14,-20.824347
2012-02-15,-25.831549
2012-02-16,-26.287193
2012-02-17,-26.6634
2012-02-18,-24.128643
2012-02-19,-22.639633
2012-02-20,-23.623499
2012-02-21,-27.476727
2012-02-22,-19.198011
2012-02-23,-21.906925
2012-02-24,-18.493736
2012-02-25,-19.644402
2012-02-26,-22.953068
2012-02-27,-18.782827
2012-02-28,-18.376942
2012-02-29,-14.003256
2012-03-01,-16.653028
2012-03-02,-22.229347
2012-03-03,-21.698124
2012-03-04,-15.759779
2012-03-05,-9.9926605
2012-03-06,-12.667936
2012-03-07,-15.9137
2012-03-08,-16.347939
2012-03-09,-22.562967
2012-03-10,-19.87571
2012-03-11,-24.199577
2012-03-12,-23.581114
2012-03-13,-19.426716
2012-03-14,-18.15101
2012-03-15,-22.262573
2012-03-16,-3.2370076
2012-03-17,-13.721634
2012-03-18,-21.202642
2012-03-19,-15.370985
2012-03-20,-15.511877
2012-03-21,-5.7737265
2012-03-22,-8.375574
2012-03-23,-8.128202
2012-03-24,-10.622118
2012-03-25,-13.281695
2012-03-26,-9.085015
2012-03-27,-1.3299382
2012-03-28,-7.0220447
2012-03-29,-1.9468443
2012-03-30,-8.419261
2012-03-31,-8.088068
2012-04-01,-15.392144
2012-04-02,-12.979637
2012-04-03,-10.98596
2012-04-04,-7.8485384
2012-04-05,-7.8293943
2012-04-06,-14.240079
2012-04-07,-8.162198
2012-04-08,-2.3256392
2012-04-09,-7.6644278
2012-04-10,0.83204436
2012-04-11,-6.1798334
2012-04-12,0.79870343
2012-04-13,-1.5172918
2012-04-14,-4.682388
2012-04-15,-3.5314176
2012-04-16,-8.810996
2012-04-17,-0.7588122
2012-04-18,1.2570915
2012-04-19,6.922244
2012-04-20,6.7752485
2012-04-21,0.3968897
2012-04-22,4.9743567
2012-04-23,6.733945
2012-04-24,5.3773623
2012-04-25,-1.7088475
2012-04-26,-5.0610933
2012-04-27,-1.2724617
2012-04-28,-0.80781376
2012-04-29,-2.1351805
2012-04-30,4.8546543
2012-05-01,1.7422123
2012-05-02,5.4178734
2012-05-03,2.6416757
2012-05-04,5.312959
2012-05-05,4.183084
2012-05-06,3.1752567
2012-05-07,3.0128207
2012-05-08,5.0389175
2012-05-09,8.299806
2012-05-10,10.260971
2012-05-11,6.261098
2012-05-12,8.825265
2012-05-13,5.1954007
2012-05-14,1.9271619
2012-05-15,0.86474013
2012-05-16,5.5366874
2012-05-17,0.3981881
2012-05-18,9.046928
2012-05-19,8.307606
2012-05-20,2.3155265
2012-05-21,10.807039
2012-05-22,12.387084
2012-05-23,6.118741
2012-05-24,4.9774575
2012-05-25,5.1717772
2012-05-26,6.886291
