time,tmin
2012-01-01,-22.313335
2012-01-02,-20.547335
2012-01-03,-18.985167
2012-01-04,-19.843304
2012-01-05,-22.177141
2012-01-06,-23.314102
2012-01-07,-23.652296
2012-01-08,-21.862053
2012-01-09,-23.868004
2012-01-10,-24.278069
2012-01-11,-26.051682
2012-01-12,-24.78949
2012-01-13,-24.49729
2012-01-14,-24.455732
2012-01-15,-24.39884
2012-01-16,-22.825718
2012-01-17,-22.35352
2012-01-18,-23.276611
2012-01-19,-23.621439
2012-01-20,-25.573479
2012-01-21,-27.905937
2012-01-22,-27.815172
2012-01-23,-31.750269
2012-01-24,-26.732252
2012-01-25,-29.257565
2012-01-26,-26.201202
2012-01-27,-27.32528
2012-01-28,-29.263512
2012-01-29,-30.130348
2012-01-30,-30.364729
2012-01-31,-30.788925
2012-02-01,-30.245663
2012-02-02,-26.34567
2012-02-03,-21.334835
2012-02-04,-19.291048
2012-02-05,-20.765406
2012-02-06,-20.7467
2012-02-07,-24.92087
2012-02-08,-21.514595
2012-02-09,-21.477814
2012-02-10,-24.44135
2012-02-11,-24.567116
2012-02-12,-25.848486
2012-02-13,-21.83416
2012-02-14,-20.16654
2012-02-15,-22.04614
2012-02-16,-23.184204
2012-02-17,-24.22839
2012-02-18,-22.228859
2012-02-19,-22.771154
2012-02-20,-23.332922
2012-02-21,-27.566496
2012-02-22,-21.10772
2012-02-23,-20.071564
2012-02-24,-18.77707
2012-02-25,-19.766546
2012-02-26,-22.366295
2012-02-27,-18.784187
2012-02-28,-17.753492
2012-02-29,-13.508063
2012-03-01,-18.777496
2012-03-02,-23.196392
2012-03-03,-23.626629
2012-03-04,-16.223
2012-03-05,-12.150613
2012-03-06,-14.833532
2012-03-07,-15.1725645
2012-03-08,-16.069597
2012-03-09,-22.357296
2012-03-10,-19.12603
2012-03-11,-22.97729
2012-03-12,-21.073288
2012-03-13,-17.208776
2012-03-14,-14.594073
2012-03-15,-13.020693
2012-03-16,-4.3510165
2012-03-17,-15.8832
2012-03-18,-19.44
2012-03-19,-15.071215
2012-03-20,-16.098167
2012-03-21,-8.728186
2012-03-22,-8.405299
2012-03-23,-8.029046
2012-03-24,-9.463251
2012-03-25,-11.284792
2012-03-26,-6.649049
2012-03-27,-2.7319257
2012-03-28,-8.429302
2012-03-29,-2.3538833
2012-03-30,-10.018366
2012-03-31,-11.138504
2012-04-01,-16.949923
2012-04-02,-14.302751
2012-04-03,-11.201862
2012-04-04,-8.117021
2012-04-05,-9.190515
2012-04-06,-13.004338
