time,tmin
2012-01-01,-19.676985
2012-01-02,-19.942385
2012-01-03,-18.550268
2012-01-04,-17.239895
2012-01-05,-18.016787
2012-01-06,-17.62829
2012-01-07,-18.733448
2012-01-08,-19.829498
2012-01-09,-19.383532
2012-01-10,-20.88186
2012-01-11,-26.066921
2012-01-12,-24.721252
2012-01-13,-25.031122
2012-01-14,-23.022053
2012-01-15,-19.878336
2012-01-16,-20.225395
2012-01-17,-22.767944
2012-01-18,-23.997152
2012-01-19,-20.836178
2012-01-20,-21.70061
2012-01-21,-23.14082
2012-01-22,-23.6656
2012-01-23,-25.726212
2012-01-24,-24.795403
2012-01-25,-26.0728
2012-01-26,-22.88396
2012-01-27,-23.928728
2012-01-28,-25.424803
2012-01-29,-27.452286
2012-01-30,-26.364565
2012-01-31,-26.828
2012-02-01,-24.28492
2012-02-02,-20.966568
2012-02-03,-17.443312
2012-02-04,-19.156729
2012-02-05,-17.119839
2012-02-06,-15.598963
2012-02-07,-19.916393
2012-02-08,-19.034319
2012-02-09,-18.792986
2012-02-10,-19.982714
2012-02-11,-20.559826
2012-02-12,-21.494984
2012-02-13,-18.316942
2012-02-14,-16.052443
2012-02-15,-18.006704
2012-02-16,-17.92836
2012-02-17,-18.67203
2012-02-18,-17.300339
2012-02-19,-16.000542
2012-02-20,-18.25208
2012-02-21,-23.134975
2012-02-22,-17.121557
2012-02-23,-16.457924
2012-02-24,-13.314164
2012-02-25,-13.283429
2012-02-26,-17.664549
2012-02-27,-17.152805
2012-02-28,-14.038629
2012-02-29,-8.706044
2012-03-01,-13.461515
2012-03-02,-16.424767
2012-03-03,-18.6455
2012-03-04,-13.173476
2012-03-05,-9.8411045
2012-03-06,-10.007285
2012-03-07,-12.021122
2012-03-08,-13.689824
2012-03-09,-14.576418
2012-03-10,-11.685032
2012-03-11,-15.635198
2012-03-12,-15.747706
2012-03-13,-13.98632
2012-03-14,-12.035602
2012-03-15,-10.187391
2012-03-16,-0.08803177
2012-03-17,-14.845564
2012-03-18,-14.396454
2012-03-19,-12.042563
2012-03-20,-10.81826
2012-03-21,-4.92181
2012-03-22,-4.3234096
2012-03-23,-5.523398
2012-03-24,-2.9960208
2012-03-25,-7.694646
2012-03-26,-4.239459
2012-03-27,-1.7031083
2012-03-28,-5.477598
2012-03-29,-1.9499285
2012-03-30,-7.982435
2012-03-31,-7.4308686
2012-04-01,-13.061585
2012-04-02,-11.178439
2012-04-03,-7.7818236
2012-04-04,-5.5435286
2012-04-05,-5.5985527
2012-04-06,-9.373627
2012-04-07,-6.1116447
2012-04-08,1.5344251
2012-04-09,-2.5292625
2012-04-10,2.3731143
2012-04-11,-2.8930101
2012-04-12,1.760788
2012-04-13,1.5982585
2012-04-14,-3.0181909
2012-04-15,0.9115559
2012-04-16,-4.847458
2012-04-17,2.4045916
2012-04-18,4.351345
2012-04-19,9.739634
2012-04-20,7.9274054
2012-04-21,4.4772005
2012-04-22,8.150433
2012-04-23,6.3694854
2012-04-24,12.443224
2012-04-25,8.611893
2012-04-26,0.31512916
2012-04-27,0.32190335
2012-04-28,2.0339658
2012-04-29,1.7302933
2012-04-30,9.455824
2012-05-01,5.0970316
2012-05-02,8.079856
2012-05-03,4.98503
2012-05-04,7.2724314
2012-05-05,7.74646
2012-05-06,5.554984
2012-05-07,4.944935
2012-05-08,8.717463
2012-05-09,7.534683
2012-05-10,9.757619
2012-05-11,6.551035
2012-05-12,9.144537
2012-05-13,5.926375
2012-05-14,6.386862
2012-05-15,5.8135867
2012-05-16,5.8453336
2012-05-17,4.0763917
2012-05-18,10.475123
2012-05-19,14.823242
2012-05-20,8.68113
2012-05-21,12.837053
2012-05-22,15.786228
2012-05-23,9.305777
2012-05-24,7.417065
2012-05-25,7.445719
2012-05-26,8.661719
2012-05-27,9.614602
2012-05-28,10.6864
2012-05-29,11.04731
2012-05-30,11.541676
2012-05-31,10.567844
2012-06-01,12.508614
2012-06-02,11.79974
2012-06-03,11.479887
2012-06-04,12.439139
2012-06-05,13.287557
2012-06-06,13.178362
2012-06-07,14.223266
2012-06-08,13.276149
2012-06-09,14.465119
2012-06-10,8.060642
2012-06-11,11.773336
2012-06-12,11.66551
2012-06-13,13.347795
2012-06-14,14.531337
2012-06-15,15.108732
2012-06-16,14.334603
2012-06-17,15.408597
2012-06-18,13.721569
2012-06-19,16.036617
2012-06-20,17.416384
