SOIL_ID,NAME
7001,HWSD2_7001
11000,HWSD2_11000
11003,HWSD2_11003
11112,HWSD2_11112
11115,HWSD2_11115
11120,HWSD2_11120
11141,HWSD2_11141
11145,HWSD2_11145
11355,HWSD2_11355
11356,HWSD2_11356
11394,HWSD2_11394
11404,HWSD2_11404
11413,HWSD2_11413
11418,HWSD2_11418
11540,HWSD2_11540
11909,HWSD2_11909
11920,HWSD2_11920
11927,HWSD2_11927
13575,HWSD2_13575
