time,srad
2012-01-01 10:30:00,5.8644004
2012-01-02 10:30:00,4.59
2012-01-03 10:30:00,5.8320003
2012-01-04 10:30:00,5.9616003
2012-01-05 10:30:00,5.9832
2012-01-06 10:30:00,6.0804
2012-01-07 10:30:00,6.1884003
2012-01-08 10:30:00,6.1668
2012-01-09 10:30:00,4.2876
2012-01-10 10:30:00,4.3632
2012-01-11 10:30:00,2.6352
2012-01-12 10:30:00,6.426
2012-01-13 10:30:00,5.8320003
2012-01-14 10:30:00,6.6852
2012-01-15 10:30:00,4.6116
2012-01-16 10:30:00,2.2788
2012-01-17 10:30:00,6.8040004
2012-01-18 10:30:00,6.8256
2012-01-19 10:30:00,5.67
2012-01-20 10:30:00,6.8256
2012-01-21 10:30:00,7.182
2012-01-22 10:30:00,7.4952
2012-01-23 10:30:00,7.5384
2012-01-24 10:30:00,7.4952
2012-01-25 10:30:00,7.8624
2012-01-26 10:30:00,8.0244
2012-01-27 10:30:00,8.1216
2012-01-28 10:30:00,8.3592005
2012-01-29 10:30:00,7.3764
2012-01-30 10:30:00,8.6832
2012-01-31 10:30:00,8.7588005
2012-02-01 10:30:00,7.8516
2012-02-02 10:30:00,8.316
2012-02-03 10:30:00,8.218801
2012-02-04 10:30:00,8.0352
2012-02-05 10:30:00,9.5148
2012-02-06 10:30:00,7.9164004
2012-02-07 10:30:00,9.4932
2012-02-08 10:30:00,8.64
2012-02-09 10:30:00,7.5384
2012-02-10 10:30:00,10.0008
2012-02-11 10:30:00,9.8928
2012-02-12 10:30:00,7.3440003
2012-02-13 10:30:00,10.443601
2012-02-14 10:30:00,8.8992
2012-02-15 10:30:00,10.5948
2012-02-16 10:30:00,9.8928
2012-02-17 10:30:00,10.2924
2012-02-18 10:30:00,10.8864
2012-02-19 10:30:00,10.6596
2012-02-20 10:30:00,10.962
2012-02-21 10:30:00,11.0808
2012-02-22 10:30:00,9.4392
2012-02-23 10:30:00,10.8
2012-02-24 10:30:00,11.3184
2012-02-25 10:30:00,12.0204
2012-02-26 10:30:00,12.0204
2012-02-27 10:30:00,7.4304004
2012-02-28 10:30:00,13.381201
2012-02-29 10:30:00,13.089601
2012-03-01 10:30:00,12.8844
2012-03-02 10:30:00,13.1328
2012-03-03 10:30:00,11.9664
2012-03-04 10:30:00,11.0268
2012-03-05 10:30:00,5.724
2012-03-06 10:30:00,12.1284
2012-03-07 10:30:00,11.8908
2012-03-08 10:30:00,14.0832
2012-03-09 10:30:00,15.541201
2012-03-10 10:30:00,11.0592
2012-03-11 10:30:00,9.7092
2012-03-12 10:30:00,15.93
2012-03-13 10:30:00,14.5044
2012-03-14 10:30:00,16.6212
2012-03-15 10:30:00,14.472
2012-03-16 10:30:00,17.0748
2012-03-17 10:30:00,16.7076
2012-03-18 10:30:00,17.269201
2012-03-19 10:30:00,17.9172
2012-03-20 10:30:00,18.457201
2012-03-21 10:30:00,17.01
2012-03-22 10:30:00,18.7488
2012-03-23 10:30:00,8.7372
2012-03-24 10:30:00,16.2324
2012-03-25 10:30:00,19.062
2012-03-26 10:30:00,15.552
2012-03-27 10:30:00,19.288801
2012-03-28 10:30:00,14.115601
2012-03-29 10:30:00,7.4844003
2012-03-30 10:30:00,9.590401
2012-03-31 10:30:00,11.88
2012-04-01 10:30:00,19.774801
2012-04-02 10:30:00,19.8504
2012-04-03 10:30:00,17.7336
2012-04-04 10:30:00,10.670401
2012-04-05 10:30:00,17.874
2012-04-06 10:30:00,21.0384
2012-04-07 10:30:00,17.1936
2012-04-08 10:30:00,9.990001
2012-04-09 10:30:00,19.2132
2012-04-10 10:30:00,10.7352
2012-04-11 10:30:00,22.6692
2012-04-12 10:30:00,21.006
