time,srad
2012-01-01 10:30:00,6.0804
2012-01-02 10:30:00,4.806
2012-01-03 10:30:00,6.0372
2012-01-04 10:30:00,6.156
2012-01-05 10:30:00,6.1884003
2012-01-06 10:30:00,6.3072
2012-01-07 10:30:00,6.4044003
2012-01-08 10:30:00,6.3828
2012-01-09 10:30:00,6.2964
2012-01-10 10:30:00,2.8188
2012-01-11 10:30:00,1.8792001
2012-01-12 10:30:00,5.8212004
2012-01-13 10:30:00,6.696
2012-01-14 10:30:00,6.8904004
2012-01-15 10:30:00,6.7068
2012-01-16 10:30:00,6.9012003
2012-01-17 10:30:00,6.9444003
2012-01-18 10:30:00,7.0092
2012-01-19 10:30:00,6.8688
2012-01-20 10:30:00,7.2252
2012-01-21 10:30:00,7.0848002
2012-01-22 10:30:00,7.0416
2012-01-23 10:30:00,7.6896
2012-01-24 10:30:00,7.938
2012-01-25 10:30:00,8.0676
2012-01-26 10:30:00,8.2296
2012-01-27 10:30:00,8.424
2012-01-28 10:30:00,8.5752
2012-01-29 10:30:00,8.6724
2012-01-30 10:30:00,8.8992
2012-01-31 10:30:00,8.9856
2012-02-01 10:30:00,8.0028
2012-02-02 10:30:00,8.6292
2012-02-03 10:30:00,8.5212
2012-02-04 10:30:00,9.6228
2012-02-05 10:30:00,9.784801
2012-02-06 10:30:00,8.845201
2012-02-07 10:30:00,9.6768
2012-02-08 10:30:00,6.5016003
2012-02-09 10:30:00,8.6832
2012-02-10 10:30:00,10.3788
2012-02-11 10:30:00,10.3248005
2012-02-12 10:30:00,7.3008003
2012-02-13 10:30:00,10.6272
2012-02-14 10:30:00,10.476
2012-02-15 10:30:00,10.9512005
2012-02-16 10:30:00,10.2384
2012-02-17 10:30:00,10.4328
2012-02-18 10:30:00,8.7804
2012-02-19 10:30:00,11.3508005
2012-02-20 10:30:00,11.34
2012-02-21 10:30:00,11.2536
2012-02-22 10:30:00,11.448
2012-02-23 10:30:00,10.0548
2012-02-24 10:30:00,9.990001
2012-02-25 10:30:00,12.4308
2012-02-26 10:30:00,12.528
2012-02-27 10:30:00,10.584001
2012-02-28 10:30:00,13.262401
2012-02-29 10:30:00,13.2408
2012-03-01 10:30:00,13.176001
2012-03-02 10:30:00,13.284
2012-03-03 10:30:00,12.1932
2012-03-04 10:30:00,10.8648
2012-03-05 10:30:00,4.3092003
2012-03-06 10:30:00,12.0852
2012-03-07 10:30:00,7.6896
2012-03-08 10:30:00,13.780801
2012-03-09 10:30:00,15.627601
2012-03-10 10:30:00,11.718
2012-03-11 10:30:00,9.7092
2012-03-12 10:30:00,16.0812
2012-03-13 10:30:00,16.4592
2012-03-14 10:30:00,15.8976
2012-03-15 10:30:00,14.472
2012-03-16 10:30:00,16.9776
2012-03-17 10:30:00,16.578001
2012-03-18 10:30:00,17.4636
2012-03-19 10:30:00,18.003601
2012-03-20 10:30:00,18.468
2012-03-21 10:30:00,18.468
2012-03-22 10:30:00,17.9928
2012-03-23 10:30:00,9.244801
2012-03-24 10:30:00,14.7528
2012-03-25 10:30:00,18.1872
2012-03-26 10:30:00,14.9796
2012-03-27 10:30:00,17.7444
2012-03-28 10:30:00,18.208801
2012-03-29 10:30:00,3.8448
2012-03-30 10:30:00,11.8476
2012-03-31 10:30:00,10.098001
2012-04-01 10:30:00,19.3104
2012-04-02 10:30:00,19.8936
2012-04-03 10:30:00,12.2256
2012-04-04 10:30:00,12.549601
