time,srad
2012-01-01 10:30:00,6.4152
2012-01-02 10:30:00,4.6764
2012-01-03 10:30:00,6.3612003
2012-01-04 10:30:00,6.4908004
2012-01-05 10:30:00,6.5448003
2012-01-06 10:30:00,6.6744003
2012-01-07 10:30:00,6.75
2012-01-08 10:30:00,6.5988
2012-01-09 10:30:00,6.75
2012-01-10 10:30:00,1.8792001
2012-01-11 10:30:00,2.9052
2012-01-12 10:30:00,6.912
2012-01-13 10:30:00,7.0416
2012-01-14 10:30:00,7.2468004
2012-01-15 10:30:00,7.3656
2012-01-16 10:30:00,7.236
2012-01-17 10:30:00,7.3440003
2012-01-18 10:30:00,7.3980002
2012-01-19 10:30:00,6.156
2012-01-20 10:30:00,7.5384
2012-01-21 10:30:00,7.9704003
2012-01-22 10:30:00,8.0892
2012-01-23 10:30:00,7.1604004
2012-01-24 10:30:00,8.316
2012-01-25 10:30:00,8.424
2012-01-26 10:30:00,8.586
2012-01-27 10:30:00,8.802
2012-01-28 10:30:00,8.9424
2012-01-29 10:30:00,8.8344
2012-01-30 10:30:00,9.2556
2012-01-31 10:30:00,9.3636
2012-02-01 10:30:00,7.7652
2012-02-02 10:30:00,7.8516
2012-02-03 10:30:00,7.9488
2012-02-04 10:30:00,8.9748
2012-02-05 10:30:00,8.5536
2012-02-06 10:30:00,7.1388
2012-02-07 10:30:00,9.990001
2012-02-08 10:30:00,9.6012
2012-02-09 10:30:00,10.2384
2012-02-10 10:30:00,11.1456
2012-02-11 10:30:00,10.530001
2012-02-12 10:30:00,8.0028
2012-02-13 10:30:00,10.368
2012-02-14 10:30:00,10.843201
2012-02-15 10:30:00,11.2536
2012-02-16 10:30:00,11.383201
2012-02-17 10:30:00,11.469601
2012-02-18 10:30:00,11.8476
2012-02-19 10:30:00,12.5064
2012-02-20 10:30:00,12.5388
2012-02-21 10:30:00,11.6208
2012-02-22 10:30:00,9.8496
2012-02-23 10:30:00,12.1068
2012-02-24 10:30:00,10.206
2012-02-25 10:30:00,12.636001
2012-02-26 10:30:00,12.7116
2012-02-27 10:30:00,13.446
2012-02-28 10:30:00,12.9924
2012-02-29 10:30:00,12.981601
2012-03-01 10:30:00,13.3272
2012-03-02 10:30:00,13.5324
2012-03-03 10:30:00,12.2904005
2012-03-04 10:30:00,11.210401
2012-03-05 10:30:00,5.5836
2012-03-06 10:30:00,8.5968
2012-03-07 10:30:00,11.070001
2012-03-08 10:30:00,14.688001
2012-03-09 10:30:00,15.228001
2012-03-10 10:30:00,11.836801
2012-03-11 10:30:00,13.3272
2012-03-12 10:30:00,16.502401
2012-03-13 10:30:00,13.878
2012-03-14 10:30:00,16.405201
2012-03-15 10:30:00,16.4484
2012-03-16 10:30:00,15.001201
2012-03-17 10:30:00,14.85
2012-03-18 10:30:00,17.7984
2012-03-19 10:30:00,18.3384
2012-03-20 10:30:00,18.7164
2012-03-21 10:30:00,18.3708
2012-03-22 10:30:00,16.750801
2012-03-23 10:30:00,7.3224
2012-03-24 10:30:00,14.774401
2012-03-25 10:30:00,18.975601
2012-03-26 10:30:00,15.5628
2012-03-27 10:30:00,19.807201
2012-03-28 10:30:00,15.552
2012-03-29 10:30:00,6.9984
2012-03-30 10:30:00,12.808801
2012-03-31 10:30:00,18.2196
2012-04-01 10:30:00,20.79
2012-04-02 10:30:00,19.2348
2012-04-03 10:30:00,18.2952
2012-04-04 10:30:00,16.0812
2012-04-05 10:30:00,18.3924
2012-04-06 10:30:00,21.8484
2012-04-07 10:30:00,18.241201
2012-04-08 10:30:00,17.582401
2012-04-09 10:30:00,20.358
2012-04-10 10:30:00,14.0724
2012-04-11 10:30:00,22.248001
2012-04-12 10:30:00,21.794401
