time,lrad
2012-01-01 10:30:00,12.6144
2012-01-02 10:30:00,15.120001
2012-01-03 10:30:00,14.3316
2012-01-04 10:30:00,12.6468
2012-01-05 10:30:00,15.832801
2012-01-06 10:30:00,11.9448
2012-01-07 10:30:00,12.3012
2012-01-08 10:30:00,12.5064
2012-01-09 10:30:00,12.808801
2012-01-10 10:30:00,15.1956005
2012-01-11 10:30:00,13.4784
2012-01-12 10:30:00,13.435201
2012-01-13 10:30:00,14.374801
2012-01-14 10:30:00,12.7008
2012-01-15 10:30:00,12.96
2012-01-16 10:30:00,12.7008
2012-01-17 10:30:00,12.754801
2012-01-18 10:30:00,12.549601
2012-01-19 10:30:00,13.521601
2012-01-20 10:30:00,12.150001
2012-01-21 10:30:00,11.5884
2012-01-22 10:30:00,11.9988
2012-01-23 10:30:00,12.0312
2012-01-24 10:30:00,11.9664
2012-01-25 10:30:00,11.955601
2012-01-26 10:30:00,11.610001
2012-01-27 10:30:00,11.2644005
2012-01-28 10:30:00,11.8476
2012-01-29 10:30:00,11.1996
2012-01-30 10:30:00,11.5992
2012-01-31 10:30:00,10.7784
2012-02-01 10:30:00,11.826
2012-02-02 10:30:00,12.474
2012-02-03 10:30:00,13.208401
2012-02-04 10:30:00,15.454801
2012-02-05 10:30:00,13.5108
2012-02-06 10:30:00,12.463201
2012-02-07 10:30:00,12.5064
2012-02-08 10:30:00,13.284
2012-02-09 10:30:00,13.7052
2012-02-10 10:30:00,13.77
2012-02-11 10:30:00,12.6576
2012-02-12 10:30:00,15.282001
2012-02-13 10:30:00,13.348801
2012-02-14 10:30:00,13.1004
2012-02-15 10:30:00,12.4308
2012-02-16 10:30:00,13.003201
2012-02-17 10:30:00,13.1436
2012-02-18 10:30:00,13.5864
2012-02-19 10:30:00,13.521601
2012-02-20 10:30:00,12.808801
2012-02-21 10:30:00,13.7376
2012-02-22 10:30:00,13.716001
2012-02-23 10:30:00,14.526
2012-02-24 10:30:00,14.1912
2012-02-25 10:30:00,13.2300005
2012-02-26 10:30:00,14.3532
2012-02-27 10:30:00,15.595201
2012-02-28 10:30:00,14.1264
2012-02-29 10:30:00,14.655601
2012-03-01 10:30:00,13.608001
2012-03-02 10:30:00,13.4784
2012-03-03 10:30:00,15.174001
2012-03-04 10:30:00,15.606
2012-03-05 10:30:00,18.9648
2012-03-06 10:30:00,15.1524
2012-03-07 10:30:00,17.4636
2012-03-08 10:30:00,13.5648
2012-03-09 10:30:00,14.7096
2012-03-10 10:30:00,16.2
2012-03-11 10:30:00,13.975201
2012-03-12 10:30:00,14.2128
2012-03-13 10:30:00,14.7312
2012-03-14 10:30:00,15.8436
2012-03-15 10:30:00,18.1224
2012-03-16 10:30:00,15.854401
2012-03-17 10:30:00,14.634001
2012-03-18 10:30:00,15.1092005
2012-03-19 10:30:00,15.1308
2012-03-20 10:30:00,17.0208
2012-03-21 10:30:00,16.189201
2012-03-22 10:30:00,17.2152
2012-03-23 10:30:00,21.967201
2012-03-24 10:30:00,16.923601
2012-03-25 10:30:00,16.1352
2012-03-26 10:30:00,18.662401
2012-03-27 10:30:00,16.3728
2012-03-28 10:30:00,20.952
2012-03-29 10:30:00,22.874401
2012-03-30 10:30:00,16.038
2012-03-31 10:30:00,14.9796
2012-04-01 10:30:00,15.4224
2012-04-02 10:30:00,16.632
2012-04-03 10:30:00,18.3708
2012-04-04 10:30:00,17.2908
2012-04-05 10:30:00,16.3404
2012-04-06 10:30:00,16.686
2012-04-07 10:30:00,19.256401
2012-04-08 10:30:00,22.388401
2012-04-09 10:30:00,20.9304
2012-04-10 10:30:00,18.576
2012-04-11 10:30:00,17.8092
2012-04-12 10:30:00,17.388
2012-04-13 10:30:00,17.7444
2012-04-14 10:30:00,23.079601
2012-04-15 10:30:00,19.666801
2012-04-16 10:30:00,17.8848
2012-04-17 10:30:00,21.718801
2012-04-18 10:30:00,22.5828
2012-04-19 10:30:00,25.8552
2012-04-20 10:30:00,18.5868
2012-04-21 10:30:00,23.673601
2012-04-22 10:30:00,25.326
2012-04-23 10:30:00,25.412401
2012-04-24 10:30:00,24.03
2012-04-25 10:30:00,19.9368
2012-04-26 10:30:00,18.2844
2012-04-27 10:30:00,24.645601
2012-04-28 10:30:00,20.3148
2012-04-29 10:30:00,21.8052
2012-04-30 10:30:00,20.9736
2012-05-01 10:30:00,21.1248
2012-05-02 10:30:00,22.4964
2012-05-03 10:30:00,21.340801
2012-05-04 10:30:00,19.17
2012-05-05 10:30:00,19.8504
2012-05-06 10:30:00,20.9736
2012-05-07 10:30:00,22.8528
2012-05-08 10:30:00,22.766401
2012-05-09 10:30:00,24.732
2012-05-10 10:30:00,21.621601
2012-05-11 10:30:00,27.388802
2012-05-12 10:30:00,26.7516
2012-05-13 10:30:00,21.7296
2012-05-14 10:30:00,23.3064
2012-05-15 10:30:00,23.8572
2012-05-16 10:30:00,23.5764
2012-05-17 10:30:00,26.19
2012-05-18 10:30:00,23.8248
2012-05-19 10:30:00,18.770401
2012-05-20 10:30:00,20.898
2012-05-21 10:30:00,25.1748
2012-05-22 10:30:00,22.1508
2012-05-23 10:30:00,20.3904
2012-05-24 10:30:00,22.345201
2012-05-25 10:30:00,20.9088
2012-05-26 10:30:00,21.934801
2012-05-27 10:30:00,23.047201
2012-05-28 10:30:00,22.939201
2012-05-29 10:30:00,25.196402
2012-05-30 10:30:00,23.6088
2012-05-31 10:30:00,21.708
2012-06-01 10:30:00,24.786001
2012-06-02 10:30:00,28.566
2012-06-03 10:30:00,26.038801
2012-06-04 10:30:00,26.7408
2012-06-05 10:30:00,23.328001
2012-06-06 10:30:00,25.704
2012-06-07 10:30:00,26.557201
2012-06-08 10:30:00,27.9936
2012-06-09 10:30:00,26.492401
2012-06-10 10:30:00,25.509602
2012-06-11 10:30:00,26.146801
2012-06-12 10:30:00,29.1492
2012-06-13 10:30:00,28.371601
2012-06-14 10:30:00,27.3672
2012-06-15 10:30:00,23.986801
2012-06-16 10:30:00,27.745201
2012-06-17 10:30:00,24.9696
2012-06-18 10:30:00,24.537601
2012-06-19 10:30:00,23.014801
2012-06-20 10:30:00,23.770802
2012-06-21 10:30:00,24.300001
2012-06-22 10:30:00,26.1144
2012-06-23 10:30:00,27.5832
2012-06-24 10:30:00,31.266
2012-06-25 10:30:00,27.972
2012-06-26 10:30:00,30.7908
2012-06-27 10:30:00,28.9008
2012-06-28 10:30:00,32.3676
2012-06-29 10:30:00,26.676
2012-06-30 10:30:00,24.84
2012-07-01 10:30:00,26.902802
2012-07-02 10:30:00,29.0844
2012-07-03 10:30:00,27.712801
