	456404.800980	5060584.341560	6695.635254	186.881027	18602381312.000000
	456404.800980	5060559.332697	6670.626465	186.881027	18602383360.000000
	456404.800980	5060534.323834	6645.617676	186.881027	18602385408.000000
	456404.800980	5060509.314970	6620.608887	186.829529	18602391552.000000
	456404.800980	5060484.306107	6595.600098	186.829529	18602391552.000000
	456404.800980	5060459.297244	6570.591309	186.686005	18602393600.000000
	456379.793175	5060459.297244	6545.583496	186.660507	18602395648.000000
	456379.793175	5060434.288380	6520.574707	186.660507	18602405888.000000
	456404.800980	5060409.279517	6485.207520	186.660507	18602405888.000000
	456404.800980	5060384.270654	6460.198730	186.386505	18602409984.000000
	456404.800980	5060359.261790	6435.189941	186.386505	18602414080.000000
	456404.800980	5060334.252927	6410.181152	186.386505	18602414080.000000
	456429.808784	5060309.244064	6374.813965	186.386505	18602420224.000000
	456454.816589	5060309.244064	6349.806152	186.287689	18602422272.000000
	456479.824393	5060284.235200	6314.438965	186.287689	18602422272.000000
	456504.832198	5060284.235200	6289.431152	186.220352	18602430464.000000
	456529.840003	5060259.226337	6254.063965	186.220352	18602440704.000000
	456529.840003	5060234.217474	6229.055176	186.220352	18602446848.000000
	456554.847807	5060209.208610	6193.687988	186.220352	18602448896.000000
	456579.855612	5060209.208610	6168.680176	186.220352	18602450944.000000
	456604.863416	5060184.199747	6133.312988	186.220352	18602452992.000000
	456629.871221	5060184.199747	6108.305176	186.220352	18602457088.000000
	456654.879025	5060184.199747	6083.297363	186.220352	18602459136.000000
	456679.886830	5060159.190884	6047.930176	186.220352	18602481664.000000
	456704.894634	5060159.190884	6022.922363	186.220352	18602481664.000000
	456729.902439	5060159.190884	5997.914551	186.220352	18602481664.000000
	456754.910244	5060159.190884	5972.906738	186.220352	18602571776.000000
	456779.918048	5060184.199747	5937.539551	186.220352	18602590208.000000
	456804.925853	5060159.190884	5902.172363	186.220352	18602592256.000000
	456804.925853	5060134.182020	5877.163574	186.220352	18602592256.000000
	456829.933657	5060109.173157	5841.796387	186.220352	18602600448.000000
	456854.941462	5060084.164294	5806.429199	186.220352	18602614784.000000
	456854.941462	5060059.155430	5781.420410	186.220352	18602616832.000000
	456879.949266	5060034.146567	5746.053223	186.220352	18602622976.000000
	456904.957071	5060009.137704	5710.686035	186.103287	18602627072.000000
	456904.957071	5059984.128840	5685.677246	186.103287	18602627072.000000
	456879.949266	5059959.119977	5650.310059	186.079681	18602633216.000000
	456879.949266	5059934.111114	5625.301270	185.552521	18602663936.000000
	456879.949266	5059909.102250	5600.292480	185.552521	18602665984.000000
	456879.949266	5059884.093387	5575.283691	185.534729	18602672128.000000
	456879.949266	5059859.084524	5550.274902	185.534729	18602676224.000000
	456879.949266	5059834.075660	5525.266113	185.534729	18602678272.000000
	456854.941462	5059809.066797	5489.898926	185.534729	18602684416.000000
	456829.933657	5059784.057934	5454.531738	185.248672	18602686464.000000
	456829.933657	5059759.049070	5429.522949	184.766678	18602690560.000000
	456829.933657	5059734.040207	5404.514160	184.766678	18602696704.000000
	456829.933657	5059709.031344	5379.505371	184.766678	18602700800.000000
	456829.933657	5059684.022480	5354.496582	184.766678	18602704896.000000
