	375	0	223	-1	374	201	5	-1	115
	374	224	1337	375	373	182	5	-1	114
	373	1338	1650	374	372	172	5	-1	113
	372	1651	1873	373	371	158	5	-1	112
	371	1874	2171	372	367	370	5	-1	111
	370	2172	2290	371	369	218	4	-1	54
	369	2291	2581	370	368	148	4	-1	52
	368	2582	3244	369	366	136	4	-1	51
	367	3245	3764	371	365	159	4	-1	57
	366	3765	4144	368	363	222	4	-1	50
	365	4145	4368	367	364	150	4	-1	56
	364	4369	4777	365	362	135	4	-1	55
	363	4778	5310	366	361	296	4	-1	48
	362	5311	5461	364	359	303	4	-1	54
	361	5462	5851	363	360	122	4	-1	44
	360	5852	6069	361	358	113	4	-1	43
	359	6070	7038	362	355	145	4	-1	49
	358	7039	7547	360	357	104	4	-1	42
	357	7548	7651	358	356	102	4	-1	41
	356	7652	7965	357	354	111	4	-1	40
	355	7966	8609	359	352	139	4	-1	48
	354	8610	8774	356	353	105	4	-1	39
	353	8775	8840	354	351	238	4	-1	38
	352	8841	9024	355	349	124	4	-1	47
	351	9025	9385	353	350	98	4	-1	36
	350	9386	9425	351	347	91	4	-1	35
	349	9426	9803	352	348	152	4	-1	46
	348	9804	9893	349	346	120	4	-1	45
	347	9894	10191	350	345	68	4	-1	34
	346	10192	10516	348	344	235	4	-1	44
	345	10517	10732	347	343	309	4	-1	33
	344	10733	10767	346	342	123	4	-1	42
	343	10768	10986	345	340	272	3	-1	28
	342	10987	11411	344	341	121	4	-1	41
	341	11412	11421	342	339	144	4	-1	40
	340	11422	11787	343	338	76	3	-1	26
	339	11788	12008	341	336	323	4	-1	39
	338	12009	12517	340	337	59	3	-1	25
	337	12518	12628	338	335	234	3	-1	24
	336	12629	13202	339	332	132	4	-1	25
	335	13203	13505	337	334	241	3	-1	22
	334	13506	13701	335	333	29	3	-1	19
	333	13702	13823	334	330	275	3	-1	18
	332	13824	14462	336	331	116	4	-1	24
	331	14463	14568	332	329	107	4	-1	23
	330	14569	14967	333	327	292	3	-1	15
	329	14968	15587	331	326	96	4	-1	22
	328	15588	15887	-1	322	89	2	-1	6
	327	15888	16405	330	324	58	3	-1	12
	326	16406	16687	329	325	106	4	-1	21
	325	16688	16787	326	321	130	4	-1	20
	324	16788	17080	327	314	249	3	-1	11
	323	17081	17198	339	317	134	3	-1	14
	322	17199	17831	328	316	86	2	-1	5
	321	17832	18207	325	319	304	4	-1	19
	320	18208	19021	-1	312	175	3	-1	7
	319	19022	19258	321	318	141	3	-1	15
	318	19259	19264	319	315	255	3	-1	14
	317	19265	19797	323	306	268	3	-1	13
	316	19798	20201	322	308	119	2	-1	4
	315	20202	20436	318	300	154	3	-1	12
	314	20437	21261	324	311	70	3	-1	8
	313	21262	21371	-1	305	60	2	-1	4
	312	21372	21848	320	307	266	3	-1	6
	311	21849	21914	314	310	20	3	-1	7
	310	21915	22055	311	293	298	3	-1	6
	309	22056	22689	345	299	64	3	-1	5
	308	22690	23228	316	290	108	2	-1	3
	307	23229	23627	312	273	205	2	-1	4
	306	23628	24306	317	302	219	3	-1	10
	305	24307	24777	313	301	78	2	-1	3
	304	24778	25694	321	220	291	3	-1	4
	303	25695	26373	362	279	155	2	-1	5
	302	26374	26599	306	297	169	3	-1	8
	301	26600	26847	305	75	69	2	-1	2
	300	26848	27632	315	282	278	3	-1	11
	299	27633	28105	309	288	225	3	-1	4
	298	28106	28735	310	221	22	2	-1	3
	297	28736	28870	302	295	153	3	-1	7
	296	28871	28899	363	284	118	2	-1	4
	295	28900	28961	297	230	289	3	-1	6
	294	28962	29847	-1	285	270	3	-1	6
	293	29848	30001	310	227	48	2	-1	3
	292	30002	30024	330	231	44	2	-1	3
	291	30025	30377	304	79	95	2	-1	2
	290	30378	30948	308	87	99	2	-1	2
	289	30949	31028	295	269	157	2	-1	4
	288	31029	31225	299	50	27	2	-1	2
	287	31226	32524	-1	263	260	3	-1	7
	286	32525	33517	-1	276	195	2	-1	3
	285	33518	33756	294	283	197	2	-1	4
	284	33757	34070	296	280	109	2	-1	3
	283	34071	34129	285	264	187	2	-1	3
	282	34130	34612	300	274	151	2	-1	7
	281	34613	35045	-1	244	17	2	-1	3
	280	35046	35136	284	93	100	2	-1	2
	279	35137	35841	303	237	147	2	-1	4
	278	35842	36240	300	245	138	2	-1	4
	277	36241	36479	-1	267	16	2	-1	3
	276	36480	36842	286	162	178	2	-1	2
	275	36843	37282	333	250	72	2	-1	3
	274	37283	37470	282	271	156	2	-1	6
	273	37471	38466	307	256	194	2	-1	3
	272	38467	39309	343	103	92	2	-1	2
	271	39310	39371	274	262	161	2	-1	5
	270	39372	39668	294	179	164	2	-1	2
