time,prec
2012-01-01 10:30:00,0.0432
2012-01-02 10:30:00,0.75600004
2012-01-03 10:30:00,0.0216
2012-01-04 10:30:00,0.162
2012-01-05 10:30:00,0.0
2012-01-06 10:30:00,0.0
2012-01-07 10:30:00,0.0
2012-01-08 10:30:00,0.0108
2012-01-09 10:30:00,0.3348
2012-01-10 10:30:00,0.19440001
2012-01-11 10:30:00,0.0108
2012-01-12 10:30:00,0.0432
2012-01-13 10:30:00,0.2268
2012-01-14 10:30:00,0.0324
2012-01-15 10:30:00,0.0
2012-01-16 10:30:00,0.0648
2012-01-17 10:30:00,0.0324
2012-01-18 10:30:00,0.0
2012-01-19 10:30:00,0.1512
2012-01-20 10:30:00,0.0864
2012-01-21 10:30:00,0.107999995
2012-01-22 10:30:00,0.0324
2012-01-23 10:30:00,0.0
2012-01-24 10:30:00,0.053999998
2012-01-25 10:30:00,0.0108
2012-01-26 10:30:00,0.0
2012-01-27 10:30:00,0.0648
2012-01-28 10:30:00,0.0108
2012-01-29 10:30:00,0.1404
2012-01-30 10:30:00,0.2268
2012-01-31 10:30:00,0.0
2012-02-01 10:30:00,0.0216
2012-02-02 10:30:00,0.0108
2012-02-03 10:30:00,0.0432
2012-02-04 10:30:00,0.0108
2012-02-05 10:30:00,0.0108
2012-02-06 10:30:00,0.0432
2012-02-07 10:30:00,0.0108
2012-02-08 10:30:00,0.0648
2012-02-09 10:30:00,0.6696
2012-02-10 10:30:00,0.162
2012-02-11 10:30:00,0.0108
2012-02-12 10:30:00,0.0108
2012-02-13 10:30:00,0.2268
2012-02-14 10:30:00,0.0216
2012-02-15 10:30:00,0.0432
2012-02-16 10:30:00,0.0
2012-02-17 10:30:00,0.0108
2012-02-18 10:30:00,0.0216
2012-02-19 10:30:00,0.0
2012-02-20 10:30:00,0.0
2012-02-21 10:30:00,0.0324
2012-02-22 10:30:00,0.097200006
2012-02-23 10:30:00,0.162
2012-02-24 10:30:00,0.1512
2012-02-25 10:30:00,0.20519999
2012-02-26 10:30:00,0.1188
2012-02-27 10:30:00,0.0
2012-02-28 10:30:00,0.0
2012-02-29 10:30:00,0.0108
2012-03-01 10:30:00,0.0
2012-03-02 10:30:00,0.0
2012-03-03 10:30:00,0.0432
2012-03-04 10:30:00,1.0692
2012-03-05 10:30:00,2.7
2012-03-06 10:30:00,0.2592
2012-03-07 10:30:00,1.4472001
2012-03-08 10:30:00,0.2916
2012-03-09 10:30:00,0.85319996
2012-03-10 10:30:00,1.188
2012-03-11 10:30:00,0.1728
2012-03-12 10:30:00,0.0
2012-03-13 10:30:00,0.097200006
2012-03-14 10:30:00,0.0216
2012-03-15 10:30:00,1.0907999
2012-03-16 10:30:00,0.053999998
2012-03-17 10:30:00,0.0
2012-03-18 10:30:00,0.0
2012-03-19 10:30:00,0.0
2012-03-20 10:30:00,0.0
2012-03-21 10:30:00,0.19439998
2012-03-22 10:30:00,1.0044
2012-03-23 10:30:00,5.0112
2012-03-24 10:30:00,0.19440001
2012-03-25 10:30:00,0.0
2012-03-26 10:30:00,0.0108
2012-03-27 10:30:00,0.0
2012-03-28 10:30:00,0.0108
2012-03-29 10:30:00,10.8108
2012-03-30 10:30:00,1.0691999
2012-03-31 10:30:00,0.2592
2012-04-01 10:30:00,0.0108
2012-04-02 10:30:00,0.0324
2012-04-03 10:30:00,0.2916
2012-04-04 10:30:00,0.83159995
2012-04-05 10:30:00,0.0756
2012-04-06 10:30:00,0.0
2012-04-07 10:30:00,0.21599999
2012-04-08 10:30:00,2.7756
2012-04-09 10:30:00,0.0
2012-04-10 10:30:00,0.0
2012-04-11 10:30:00,0.0324
2012-04-12 10:30:00,0.0
2012-04-13 10:30:00,0.0
2012-04-14 10:30:00,4.482
2012-04-15 10:30:00,0.0108
2012-04-16 10:30:00,0.0
2012-04-17 10:30:00,0.0
2012-04-18 10:30:00,0.0108
2012-04-19 10:30:00,1.0043999
2012-04-20 10:30:00,0.3564
2012-04-21 10:30:00,0.097200006
2012-04-22 10:30:00,0.0
2012-04-23 10:30:00,0.5724
2012-04-24 10:30:00,0.0
2012-04-25 10:30:00,0.0108
2012-04-26 10:30:00,0.0108
2012-04-27 10:30:00,2.4516
2012-04-28 10:30:00,1.7388
2012-04-29 10:30:00,0.10800001
2012-04-30 10:30:00,0.0
2012-05-01 10:30:00,0.0
2012-05-02 10:30:00,0.2268
2012-05-03 10:30:00,0.0
2012-05-04 10:30:00,0.0
2012-05-05 10:30:00,0.0
2012-05-06 10:30:00,0.0
2012-05-07 10:30:00,0.0324
2012-05-08 10:30:00,0.097200006
2012-05-09 10:30:00,0.0216
2012-05-10 10:30:00,0.0
2012-05-11 10:30:00,0.6264
2012-05-12 10:30:00,3.6072001
2012-05-13 10:30:00,0.1188
2012-05-14 10:30:00,0.8964
2012-05-15 10:30:00,4.3956
2012-05-16 10:30:00,1.6200001
2012-05-17 10:30:00,0.1512
2012-05-18 10:30:00,0.1296
2012-05-19 10:30:00,0.0
2012-05-20 10:30:00,0.0
2012-05-21 10:30:00,1.0152
2012-05-22 10:30:00,2.5812
2012-05-23 10:30:00,0.0648
2012-05-24 10:30:00,0.0324
2012-05-25 10:30:00,0.19440001
2012-05-26 10:30:00,0.0
2012-05-27 10:30:00,0.0
2012-05-28 10:30:00,0.0
2012-05-29 10:30:00,10.691999
2012-05-30 10:30:00,3.3156002
2012-05-31 10:30:00,0.0216
2012-06-01 10:30:00,1.0044
2012-06-02 10:30:00,8.1
2012-06-03 10:30:00,4.7088
2012-06-04 10:30:00,0.36720002
2012-06-05 10:30:00,0.87479997
2012-06-06 10:30:00,4.9572
2012-06-07 10:30:00,1.3608
2012-06-08 10:30:00,4.2012
2012-06-09 10:30:00,0.6696
2012-06-10 10:30:00,1.8792
2012-06-11 10:30:00,1.3176
2012-06-12 10:30:00,11.4696
2012-06-13 10:30:00,8.5644
2012-06-14 10:30:00,1.6631999
2012-06-15 10:30:00,2.1924
2012-06-16 10:30:00,8.6832
2012-06-17 10:30:00,7.8192
2012-06-18 10:30:00,0.0324
2012-06-19 10:30:00,0.0
2012-06-20 10:30:00,0.0
2012-06-21 10:30:00,0.14039999
2012-06-22 10:30:00,0.19440001
2012-06-23 10:30:00,0.9072
2012-06-24 10:30:00,14.6772
2012-06-25 10:30:00,3.1536002
2012-06-26 10:30:00,11.8692
2012-06-27 10:30:00,4.6656
2012-06-28 10:30:00,4.7412
2012-06-29 10:30:00,0.79920006
