time,rhum
2012-01-01 10:30:00,0.568425
2012-01-02 10:30:00,0.6277625
2012-01-03 10:30:00,0.60639995
2012-01-04 10:30:00,0.5655125
2012-01-05 10:30:00,0.5651625
2012-01-06 10:30:00,0.56404996
2012-01-07 10:30:00,0.5616625
2012-01-08 10:30:00,0.5789125
2012-01-09 10:30:00,0.60281247
2012-01-10 10:30:00,0.566475
2012-01-11 10:30:00,0.57625
2012-01-12 10:30:00,0.64004993
2012-01-13 10:30:00,0.6148
2012-01-14 10:30:00,0.541775
2012-01-15 10:30:00,0.6260125
2012-01-16 10:30:00,0.65555
2012-01-17 10:30:00,0.6582375
2012-01-18 10:30:00,0.5780875
2012-01-19 10:30:00,0.5193125
2012-01-20 10:30:00,0.38344997
2012-01-21 10:30:00,0.37485
2012-01-22 10:30:00,0.4325
2012-01-23 10:30:00,0.438025
2012-01-24 10:30:00,0.436425
2012-01-25 10:30:00,0.49226248
2012-01-26 10:30:00,0.44765
2012-01-27 10:30:00,0.41608748
2012-01-28 10:30:00,0.4016
2012-01-29 10:30:00,0.426375
2012-01-30 10:30:00,0.396125
2012-01-31 10:30:00,0.38142502
2012-02-01 10:30:00,0.39229998
2012-02-02 10:30:00,0.39134997
2012-02-03 10:30:00,0.40873748
2012-02-04 10:30:00,0.44478747
2012-02-05 10:30:00,0.38224998
2012-02-06 10:30:00,0.34742498
2012-02-07 10:30:00,0.37772498
2012-02-08 10:30:00,0.42623746
2012-02-09 10:30:00,0.43546247
2012-02-10 10:30:00,0.41826248
2012-02-11 10:30:00,0.3943125
2012-02-12 10:30:00,0.4652375
2012-02-13 10:30:00,0.43831247
2012-02-14 10:30:00,0.38107502
2012-02-15 10:30:00,0.4153125
2012-02-16 10:30:00,0.37756246
2012-02-17 10:30:00,0.4019875
2012-02-18 10:30:00,0.43010002
2012-02-19 10:30:00,0.42093748
2012-02-20 10:30:00,0.3169625
2012-02-21 10:30:00,0.2717
2012-02-22 10:30:00,0.2853125
2012-02-23 10:30:00,0.42252502
2012-02-24 10:30:00,0.4099625
2012-02-25 10:30:00,0.3991125
2012-02-26 10:30:00,0.45815
2012-02-27 10:30:00,0.43537498
2012-02-28 10:30:00,0.4164875
2012-02-29 10:30:00,0.4450125
2012-03-01 10:30:00,0.339075
2012-03-02 10:30:00,0.3833
2012-03-03 10:30:00,0.3906
2012-03-04 10:30:00,0.64762497
2012-03-05 10:30:00,0.83739996
2012-03-06 10:30:00,0.6256
2012-03-07 10:30:00,0.62752503
2012-03-08 10:30:00,0.4448875
2012-03-09 10:30:00,0.4868125
2012-03-10 10:30:00,0.60776246
2012-03-11 10:30:00,0.51575
2012-03-12 10:30:00,0.5061375
2012-03-13 10:30:00,0.4523625
2012-03-14 10:30:00,0.48513746
2012-03-15 10:30:00,0.473875
2012-03-16 10:30:00,0.2882
2012-03-17 10:30:00,0.19138749
2012-03-18 10:30:00,0.330325
2012-03-19 10:30:00,0.2662625
2012-03-20 10:30:00,0.29475
2012-03-21 10:30:00,0.3802
2012-03-22 10:30:00,0.279575
2012-03-23 10:30:00,0.5475125
2012-03-24 10:30:00,0.3751
2012-03-25 10:30:00,0.356275
2012-03-26 10:30:00,0.3128125
2012-03-27 10:30:00,0.270925
2012-03-28 10:30:00,0.27476248
2012-03-29 10:30:00,0.6943
2012-03-30 10:30:00,0.41061246
2012-03-31 10:30:00,0.3464125
2012-04-01 10:30:00,0.2503375
2012-04-02 10:30:00,0.2659625
2012-04-03 10:30:00,0.4032125
2012-04-04 10:30:00,0.4266875
2012-04-05 10:30:00,0.42338747
2012-04-06 10:30:00,0.2937375
2012-04-07 10:30:00,0.25079998
2012-04-08 10:30:00,0.40686247
2012-04-09 10:30:00,0.1847125
2012-04-10 10:30:00,0.23799999
2012-04-11 10:30:00,0.293375
2012-04-12 10:30:00,0.3413875
2012-04-13 10:30:00,0.2755625
2012-04-14 10:30:00,0.5874
2012-04-15 10:30:00,0.333425
2012-04-16 10:30:00,0.3184875
2012-04-17 10:30:00,0.32128748
2012-04-18 10:30:00,0.2748875
2012-04-19 10:30:00,0.334725
2012-04-20 10:30:00,0.20313749
2012-04-21 10:30:00,0.41482502
2012-04-22 10:30:00,0.4121875
2012-04-23 10:30:00,0.38963747
2012-04-24 10:30:00,0.1815875
2012-04-25 10:30:00,0.23726249
2012-04-26 10:30:00,0.2140375
2012-04-27 10:30:00,0.6038375
2012-04-28 10:30:00,0.329125
2012-04-29 10:30:00,0.2261
2012-04-30 10:30:00,0.23511249
2012-05-01 10:30:00,0.21257499
2012-05-02 10:30:00,0.2813625
2012-05-03 10:30:00,0.19517499
2012-05-04 10:30:00,0.20807499
2012-05-05 10:30:00,0.14946249
2012-05-06 10:30:00,0.227175
2012-05-07 10:30:00,0.3173
2012-05-08 10:30:00,0.38665
2012-05-09 10:30:00,0.36726248
2012-05-10 10:30:00,0.43166247
2012-05-11 10:30:00,0.39131248
2012-05-12 10:30:00,0.529775
2012-05-13 10:30:00,0.4516125
2012-05-14 10:30:00,0.5788
2012-05-15 10:30:00,0.54991245
2012-05-16 10:30:00,0.65828747
2012-05-17 10:30:00,0.43296248
2012-05-18 10:30:00,0.27895
2012-05-19 10:30:00,0.22764999
2012-05-20 10:30:00,0.3202625
2012-05-21 10:30:00,0.3130875
2012-05-22 10:30:00,0.279925
2012-05-23 10:30:00,0.2547625
2012-05-24 10:30:00,0.2161
2012-05-25 10:30:00,0.29361248
2012-05-26 10:30:00,0.38318747
2012-05-27 10:30:00,0.3171
2012-05-28 10:30:00,0.43818748
2012-05-29 10:30:00,0.6082875
2012-05-30 10:30:00,0.65038747
2012-05-31 10:30:00,0.5696625
2012-06-01 10:30:00,0.6106375
2012-06-02 10:30:00,0.9036875
2012-06-03 10:30:00,0.739325
2012-06-04 10:30:00,0.7058875
2012-06-05 10:30:00,0.579
2012-06-06 10:30:00,0.689925
2012-06-07 10:30:00,0.5499375
2012-06-08 10:30:00,0.72171247
2012-06-09 10:30:00,0.6608375
2012-06-10 10:30:00,0.62883747
2012-06-11 10:30:00,0.6757
2012-06-12 10:30:00,0.7202749
2012-06-13 10:30:00,0.87151253
2012-06-14 10:30:00,0.77645
2012-06-15 10:30:00,0.803225
2012-06-16 10:30:00,0.74277496
2012-06-17 10:30:00,0.82147497
2012-06-18 10:30:00,0.712325
2012-06-19 10:30:00,0.6381
2012-06-20 10:30:00,0.63653743
2012-06-21 10:30:00,0.6144
2012-06-22 10:30:00,0.6315375
2012-06-23 10:30:00,0.67050004
2012-06-24 10:30:00,0.7921875
2012-06-25 10:30:00,0.8005874
2012-06-26 10:30:00,0.790625
2012-06-27 10:30:00,0.86301255
2012-06-28 10:30:00,0.7757
2012-06-29 10:30:00,0.6577625
2012-06-30 10:30:00,0.54109997
2012-07-01 10:30:00,0.80171245
2012-07-02 10:30:00,0.8181
2012-07-03 10:30:00,0.74402505
2012-07-04 10:30:00,0.73020005
2012-07-05 10:30:00,0.73338753
2012-07-06 10:30:00,0.68675
2012-07-07 10:30:00,0.688525
2012-07-08 10:30:00,0.82246244
2012-07-09 10:30:00,0.78262496
2012-07-10 10:30:00,0.86382496
2012-07-11 10:30:00,0.82374996
