time,tmax
2012-01-01,-10.785679
2012-01-02,-11.320688
2012-01-03,-11.539709
2012-01-04,-10.356598
2012-01-05,-13.06089
2012-01-06,-12.573266
2012-01-07,-10.789127
2012-01-08,-11.334782
2012-01-09,-13.313747
2012-01-10,-16.069014
2012-01-11,-16.073343
2012-01-12,-9.687111
2012-01-13,-8.8116865
2012-01-14,-9.346934
2012-01-15,-6.9698052
2012-01-16,-10.015909
2012-01-17,-12.332961
2012-01-18,-10.4062195
2012-01-19,-12.306426
2012-01-20,-18.242521
2012-01-21,-20.294094
2012-01-22,-18.698362
2012-01-23,-18.244816
2012-01-24,-17.715899
2012-01-25,-16.041313
2012-01-26,-16.037432
2012-01-27,-16.544176
2012-01-28,-17.693321
2012-01-29,-19.092106
2012-01-30,-20.56651
2012-01-31,-18.997747
2012-02-01,-18.891367
2012-02-02,-12.379061
2012-02-03,-13.818996
2012-02-04,-7.032178
2012-02-05,-5.9578414
2012-02-06,-14.101109
2012-02-07,-15.6832075
2012-02-08,-12.512644
2012-02-09,-12.296578
2012-02-10,-13.777058
2012-02-11,-12.642742
2012-02-12,-8.587113
2012-02-13,-9.324353
2012-02-14,-13.493124
2012-02-15,-9.164087
2012-02-16,-11.78354
2012-02-17,-11.003363
2012-02-18,-6.1398835
2012-02-19,-4.4645734
2012-02-20,-11.235664
2012-02-21,-6.9275346
2012-02-22,-4.2459545
2012-02-23,-1.8141662
2012-02-24,-6.285194
2012-02-25,-8.273686
2012-02-26,-7.5057015
2012-02-27,-0.6130223
2012-02-28,1.775975
2012-02-29,-3.3420796
2012-03-01,-7.0080147
2012-03-02,-6.0758886
2012-03-03,-1.0671403
2012-03-04,-0.7361376
2012-03-05,-3.9017036
2012-03-06,-1.6077137
2012-03-07,-4.234104
2012-03-08,-6.8929405
2012-03-09,-5.7472816
2012-03-10,-7.3604193
2012-03-11,-5.0747924
2012-03-12,-1.8481333
2012-03-13,-0.6529948
2012-03-14,0.22431816
2012-03-15,5.905779
2012-03-16,7.0586905
2012-03-17,-1.3976703
2012-03-18,-3.268096
2012-03-19,-2.7808433
2012-03-20,2.7674086
2012-03-21,1.7360773
2012-03-22,6.4666243
2012-03-23,0.6534754
2012-03-24,0.9406412
2012-03-25,1.7700716
2012-03-26,11.232501
2012-03-27,6.656307
2012-03-28,16.637012
2012-03-29,10.640769
2012-03-30,0.99241126
2012-03-31,-3.4913468
2012-04-01,-2.7822022
2012-04-02,1.6208395
2012-04-03,3.3874288
2012-04-04,3.0279903
2012-04-05,-1.5019965
2012-04-06,2.5914087
2012-04-07,13.638814
2012-04-08,3.3502738
2012-04-09,16.822233
2012-04-10,10.689332
2012-04-11,9.4284115
2012-04-12,9.373589
2012-04-13,13.141473
2012-04-14,6.315405
2012-04-15,5.9055634
2012-04-16,11.107091
2012-04-17,20.193798
2012-04-18,23.301546
2012-04-19,23.32609
2012-04-20,13.31869
2012-04-21,19.31238
2012-04-22,23.36462
2012-04-23,20.074244
2012-04-24,17.88027
2012-04-25,9.33379
2012-04-26,10.4777975
2012-04-27,6.015078
2012-04-28,6.270235
2012-04-29,10.701456
2012-04-30,16.28608
2012-05-01,15.884038
2012-05-02,21.20483
2012-05-03,21.711996
2012-05-04,17.878893
2012-05-05,16.65341
2012-05-06,19.587101
2012-05-07,21.072023
2012-05-08,20.636433
2012-05-09,18.93694
2012-05-10,21.277836
2012-05-11,18.179485
2012-05-12,14.373939
2012-05-13,16.112625
2012-05-14,11.165579
2012-05-15,13.301363
2012-05-16,13.369583
2012-05-17,24.388344
2012-05-18,28.92785
2012-05-19,21.616394
2012-05-20,24.146576
2012-05-21,30.233194
2012-05-22,26.726654
2012-05-23,14.175428
2012-05-24,17.004957
2012-05-25,19.676151
2012-05-26,21.042307
2012-05-27,25.631918
2012-05-28,23.145727
2012-05-29,19.697935
2012-05-30,14.841281
2012-05-31,19.512941
2012-06-01,18.960144
2012-06-02,15.415666
2012-06-03,17.835264
2012-06-04,20.856112
2012-06-05,24.267729
2012-06-06,18.468195
2012-06-07,22.346085
2012-06-08,21.108047
2012-06-09,19.679499
2012-06-10,15.809392
2012-06-11,15.858128
2012-06-12,13.8647175
2012-06-13,15.228531
2012-06-14,17.998152
2012-06-15,19.880531
2012-06-16,22.932318
2012-06-17,19.441591
2012-06-18,25.049343
2012-06-19,26.336243
2012-06-20,26.575369
2012-06-21,27.476732
2012-06-22,26.92289
2012-06-23,26.997421
2012-06-24,23.820559
2012-06-25,23.049894
2012-06-26,26.641716
2012-06-27,24.103455
2012-06-28,23.765608
2012-06-29,22.687126
2012-06-30,28.156654
2012-07-01,21.338522
2012-07-02,19.080404
2012-07-03,22.16989
2012-07-04,26.882996
2012-07-05,27.47952
2012-07-06,28.409307
2012-07-07,30.974466
2012-07-08,25.223816
2012-07-09,25.858248
2012-07-10,26.909992
2012-07-11,21.274433
2012-07-12,20.857103
2012-07-13,26.937292
2012-07-14,28.19003
2012-07-15,29.508287
2012-07-16,29.786451
2012-07-17,32.162548
2012-07-18,28.614817
2012-07-19,28.961346
2012-07-20,28.34944
2012-07-21,27.199633
2012-07-22,19.8743
2012-07-23,27.428162
2012-07-24,22.738539
2012-07-25,28.223648
2012-07-26,24.689734
2012-07-27,28.289335
2012-07-28,22.841301
2012-07-29,18.282135
2012-07-30,22.868975
2012-07-31,25.997204
2012-08-01,23.179104
2012-08-02,21.789345
2012-08-03,20.837254
2012-08-04,29.541853
2012-08-05,33.33987
2012-08-06,31.441362
2012-08-07,28.675587
2012-08-08,25.303055
2012-08-09,23.27147
2012-08-10,20.238987
2012-08-11,22.228552
2012-08-12,24.33835
2012-08-13,26.866722
2012-08-14,24.414267
2012-08-15,25.503582
2012-08-16,29.024693
2012-08-17,27.427643
2012-08-18,25.000515
2012-08-19,25.721645
2012-08-20,19.108908
2012-08-21,20.929974
2012-08-22,21.020826
2012-08-23,28.498207
2012-08-24,29.821136
2012-08-25,29.744991
2012-08-26,27.190817
2012-08-27,26.196568
2012-08-28,27.75926
2012-08-29,24.407713
2012-08-30,27.677055
2012-08-31,31.203476
2012-09-01,28.653885
2012-09-02,18.602194
2012-09-03,13.505798
2012-09-04,16.601954
2012-09-05,17.376804
2012-09-06,23.894644
2012-09-07,25.407866
2012-09-08,24.775904
2012-09-09,25.473763
2012-09-10,21.15838
2012-09-11,15.843112
2012-09-12,9.333532
2012-09-13,11.067479
2012-09-14,19.995602
2012-09-15,23.124361
2012-09-16,23.82754
2012-09-17,23.165417
2012-09-18,23.487318
2012-09-19,21.086828
2012-09-20,24.364798
2012-09-21,22.04579
2012-09-22,18.57442
2012-09-23,16.364033
2012-09-24,16.884869
2012-09-25,11.735183
2012-09-26,14.994108
2012-09-27,9.082468
2012-09-28,16.91198
2012-09-29,15.865704
2012-09-30,19.48338
2012-10-01,21.146149
2012-10-02,17.19852
2012-10-03,13.62258
2012-10-04,15.609201
2012-10-05,14.114205
2012-10-06,16.329031
2012-10-07,16.180061
2012-10-08,20.369236
2012-10-09,13.209688
2012-10-10,8.707496
2012-10-11,11.80447
2012-10-12,5.0653243
2012-10-13,4.396667
2012-10-14,5.6020565
2012-10-15,7.1267915
2012-10-16,1.8417083
2012-10-17,-0.06295812
2012-10-18,-0.26216304
2012-10-19,3.9411333
2012-10-20,-0.06928992
2012-10-21,1.8935618
2012-10-22,8.832463
2012-10-23,11.554515
2012-10-24,7.857026
2012-10-25,13.639887
2012-10-26,12.453497
2012-10-27,8.971511
2012-10-28,0.7632799
2012-10-29,-1.471181
2012-10-30,-5.079268
2012-10-31,-4.4899287
2012-11-01,-1.5233265
2012-11-02,-1.9486736
