time,tmax
2012-01-01,-8.646469
2012-01-02,-9.900324
2012-01-03,-8.565592
2012-01-04,-7.636962
2012-01-05,-9.634081
2012-01-06,-7.5616784
2012-01-07,-8.034992
2012-01-08,-8.623194
2012-01-09,-11.871577
2012-01-10,-16.077374
2012-01-11,-14.692737
2012-01-12,-8.0218115
2012-01-13,-5.947852
2012-01-14,-7.476472
2012-01-15,-4.7778893
2012-01-16,-9.382732
2012-01-17,-9.936631
2012-01-18,-9.455321
2012-01-19,-11.646744
2012-01-20,-13.587839
2012-01-21,-15.766232
2012-01-22,-14.227404
2012-01-23,-15.669026
2012-01-24,-14.200086
2012-01-25,-12.601671
2012-01-26,-11.277485
2012-01-27,-12.146222
2012-01-28,-13.4684305
2012-01-29,-14.373483
2012-01-30,-16.219545
2012-01-31,-17.109753
2012-02-01,-14.774068
2012-02-02,-9.514163
2012-02-03,-9.818751
2012-02-04,-3.449275
2012-02-05,-3.1560152
2012-02-06,-8.94951
2012-02-07,-10.8703
2012-02-08,-9.256552
2012-02-09,-7.3556166
2012-02-10,-9.800646
2012-02-11,-9.300799
2012-02-12,-3.9937038
2012-02-13,-4.774722
2012-02-14,-9.040171
2012-02-15,-5.8858914
2012-02-16,-7.564823
2012-02-17,-8.475872
2012-02-18,-3.5457392
2012-02-19,-1.2435644
2012-02-20,-7.2850957
2012-02-21,-6.5644245
2012-02-22,-5.1379156
2012-02-23,-1.2702317
2012-02-24,-2.4031034
2012-02-25,-4.6170774
2012-02-26,-4.596855
2012-02-27,3.782425
2012-02-28,4.3838763
2012-02-29,1.2900892
2012-03-01,-2.317578
2012-03-02,-4.1343455
2012-03-03,-0.28353477
2012-03-04,-0.65743494
2012-03-05,-2.3937411
2012-03-06,-1.3405777
2012-03-07,-3.0868561
2012-03-08,-2.964241
2012-03-09,-3.6686075
2012-03-10,-4.372165
2012-03-11,-2.0269594
2012-03-12,-1.1348404
2012-03-13,2.16681
2012-03-14,1.7561532
2012-03-15,9.813033
2012-03-16,11.130729
2012-03-17,5.274184
2012-03-18,0.07761103
2012-03-19,1.6099963
2012-03-20,5.219351
2012-03-21,8.19009
2012-03-22,8.983539
2012-03-23,4.023574
2012-03-24,4.759118
2012-03-25,4.7166114
2012-03-26,12.839075
2012-03-27,12.017712
2012-03-28,19.424109
2012-03-29,13.113225
2012-03-30,5.539871
2012-03-31,-0.83512944
2012-04-01,1.318626
2012-04-02,5.6884656
2012-04-03,8.02514
2012-04-04,6.9911485
2012-04-05,2.924488
2012-04-06,6.0132213
2012-04-07,14.602936
2012-04-08,10.126685
2012-04-09,18.761051
2012-04-10,15.4894495
2012-04-11,14.159979
2012-04-12,13.6233835
2012-04-13,22.350946
2012-04-14,11.48061
2012-04-15,9.695544
2012-04-16,14.807825
2012-04-17,22.675232
2012-04-18,23.778664
2012-04-19,23.694262
2012-04-20,18.610712
2012-04-21,21.757607
2012-04-22,24.31958
2012-04-23,24.119976
2012-04-24,19.492699
2012-04-25,14.340739
2012-04-26,18.160425
2012-04-27,10.760247
2012-04-28,9.494734
2012-04-29,16.824457
2012-04-30,20.541206
2012-05-01,21.231672
2012-05-02,22.997702
2012-05-03,28.165827
2012-05-04,21.967037
2012-05-05,20.923626
2012-05-06,23.81431
2012-05-07,24.81806
2012-05-08,22.227806
2012-05-09,21.968388
2012-05-10,22.746006
2012-05-11,21.55531
