time,tmax
2012-01-01,-11.026101
2012-01-02,-12.340151
2012-01-03,-11.904759
2012-01-04,-11.467784
2012-01-05,-12.978473
2012-01-06,-12.670453
2012-01-07,-11.830251
2012-01-08,-11.955224
2012-01-09,-13.027418
2012-01-10,-16.03813
2012-01-11,-15.080014
2012-01-12,-9.649229
2012-01-13,-11.460422
2012-01-14,-10.380339
2012-01-15,-8.279519
2012-01-16,-12.233203
2012-01-17,-14.295383
2012-01-18,-12.576017
2012-01-19,-14.269835
2012-01-20,-18.763859
2012-01-21,-19.983433
2012-01-22,-17.89898
2012-01-23,-17.625978
2012-01-24,-17.14424
2012-01-25,-15.707966
2012-01-26,-15.044646
2012-01-27,-15.769327
2012-01-28,-16.587187
2012-01-29,-18.615158
2012-01-30,-19.727331
2012-01-31,-18.325523
2012-02-01,-17.834385
2012-02-02,-12.628844
2012-02-03,-13.465648
2012-02-04,-6.630036
2012-02-05,-6.96673
2012-02-06,-13.832388
2012-02-07,-15.142578
2012-02-08,-12.017017
2012-02-09,-11.353925
2012-02-10,-13.085311
2012-02-11,-11.968158
2012-02-12,-8.128789
2012-02-13,-8.952819
2012-02-14,-13.220119
2012-02-15,-9.608077
2012-02-16,-10.988464
2012-02-17,-10.470429
2012-02-18,-7.4284577
2012-02-19,-5.6080103
2012-02-20,-10.62051
2012-02-21,-8.415066
2012-02-22,-5.314453
2012-02-23,-3.0994518
2012-02-24,-6.125605
2012-02-25,-7.9644475
2012-02-26,-7.126139
2012-02-27,-0.8169882
2012-02-28,1.6696916
2012-02-29,-2.5644612
2012-03-01,-6.1157227
2012-03-02,-5.958923
2012-03-03,-1.5110279
2012-03-04,-2.5706892
2012-03-05,-5.171368
2012-03-06,-3.0031464
2012-03-07,-5.5678153
2012-03-08,-7.0199304
2012-03-09,-6.4286447
2012-03-10,-7.609514
2012-03-11,-4.964449
2012-03-12,-4.104343
2012-03-13,-1.2217603
2012-03-14,-1.3020926
2012-03-15,6.112361
2012-03-16,6.6708426
2012-03-17,-1.038162
2012-03-18,-3.3976736
2012-03-19,-1.7808244
2012-03-20,3.2604518
2012-03-21,2.324986
2012-03-22,6.7257934
2012-03-23,-0.2730422
2012-03-24,1.4810477
2012-03-25,1.1299134
2012-03-26,10.997796
2012-03-27,8.007828
2012-03-28,16.04062
2012-03-29,11.322024
2012-03-30,1.0382493
2012-03-31,-2.6692495
2012-04-01,-1.3161428
2012-04-02,2.1396742
2012-04-03,3.5623558
2012-04-04,4.151044
2012-04-05,-0.061620593
2012-04-06,3.9839258
2012-04-07,13.49511
2012-04-08,3.8924098
2012-04-09,17.068226
2012-04-10,13.112178
2012-04-11,9.994668
2012-04-12,9.941853
2012-04-13,16.051165
2012-04-14,6.991685
2012-04-15,5.705754
2012-04-16,11.689425
2012-04-17,20.24184
2012-04-18,23.328053
2012-04-19,22.102621
2012-04-20,13.41987
2012-04-21,19.992794
2012-04-22,23.275585
2012-04-23,21.184563
2012-04-24,17.440725
2012-04-25,9.265623
2012-04-26,13.339951
2012-04-27,8.619074
2012-04-28,5.296724
2012-04-29,12.268204
2012-04-30,17.585499
2012-05-01,18.2667
2012-05-02,21.482157
2012-05-03,23.382822
2012-05-04,18.928051
2012-05-05,17.817127
2012-05-06,21.03769
2012-05-07,21.730059
2012-05-08,21.314417
2012-05-09,19.916029
2012-05-10,21.603857
2012-05-11,18.1252
2012-05-12,16.692993
2012-05-13,14.942462
2012-05-14,11.492122
2012-05-15,13.307627
2012-05-16,13.883426
2012-05-17,24.383514
2012-05-18,30.781755
2012-05-19,22.271885
2012-05-20,24.398378
2012-05-21,30.058208
2012-05-22,25.720314
2012-05-23,14.458144
2012-05-24,17.285778
2012-05-25,20.40667
2012-05-26,20.98423
2012-05-27,25.78957
2012-05-28,22.912355
2012-05-29,19.355396
2012-05-30,17.039715
2012-05-31,19.976772
2012-06-01,20.187588
2012-06-02,14.545679
2012-06-03,17.166075
2012-06-04,18.601046
2012-06-05,24.351856
2012-06-06,19.913229
2012-06-07,23.194237
2012-06-08,22.40303
2012-06-09,19.370428
2012-06-10,15.635696
2012-06-11,16.224543
2012-06-12,12.935449
2012-06-13,12.538345
2012-06-14,18.151308
2012-06-15,17.62621
2012-06-16,22.866112
2012-06-17,18.949997
2012-06-18,24.719109
2012-06-19,25.527588
2012-06-20,26.3335
2012-06-21,27.815344
2012-06-22,27.042105
2012-06-23,26.538351
2012-06-24,22.891935
2012-06-25,24.827904
2012-06-26,25.71933
2012-06-27,22.46319
2012-06-28,24.441097
2012-06-29,23.529186
2012-06-30,28.843412
2012-07-01,22.937212
2012-07-02,19.757257
2012-07-03,21.824213
2012-07-04,25.986979
2012-07-05,26.87919
2012-07-06,27.863829
2012-07-07,29.678337
2012-07-08,27.750359
2012-07-09,25.799807
2012-07-10,26.231659
2012-07-11,20.865551
2012-07-12,20.322716
2012-07-13,26.439373
2012-07-14,27.046946
2012-07-15,29.715504
2012-07-16,29.642385
2012-07-17,31.473703
2012-07-18,27.376806
2012-07-19,29.222998
2012-07-20,28.006695
2012-07-21,27.594734
2012-07-22,20.370209
2012-07-23,28.157747
2012-07-24,27.771502
2012-07-25,28.263563
2012-07-26,26.460062
2012-07-27,28.444828
2012-07-28,21.08631
2012-07-29,17.592493
2012-07-30,22.849703
2012-07-31,25.47413
2012-08-01,23.22055
2012-08-02,21.823061
2012-08-03,20.834547
2012-08-04,27.383118
2012-08-05,29.476397
2012-08-06,30.51376
2012-08-07,28.849684
2012-08-08,25.241026
2012-08-09,23.07791
2012-08-10,20.501482
2012-08-11,21.496452
2012-08-12,24.091494
2012-08-13,26.114864
2012-08-14,23.984835
2012-08-15,25.332138
2012-08-16,28.83634
2012-08-17,27.245213
2012-08-18,24.923954
2012-08-19,24.80061
2012-08-20,17.914923
2012-08-21,20.728285
2012-08-22,21.802433
2012-08-23,29.98443
2012-08-24,29.784975
2012-08-25,29.680351
2012-08-26,26.873821
2012-08-27,26.154781
2012-08-28,28.526363
2012-08-29,25.512293
2012-08-30,27.728382
2012-08-31,31.576267
2012-09-01,28.400877
2012-09-02,19.387772
2012-09-03,14.255415
2012-09-04,15.552093
2012-09-05,16.231865
2012-09-06,24.29216
2012-09-07,25.168692
2012-09-08,25.098217
2012-09-09,25.19612
2012-09-10,22.220812
2012-09-11,16.146976
2012-09-12,9.971223
2012-09-13,12.746558
2012-09-14,20.097279
2012-09-15,22.174334
2012-09-16,23.422258
2012-09-17,23.064486
2012-09-18,23.317583
2012-09-19,22.03939
2012-09-20,24.4617
2012-09-21,21.923351
