time,tmax
2012-01-01,-18.175001
2012-01-02,-14.562195
2012-01-03,-20.337074
2012-01-04,-17.995049
2012-01-05,-21.005417
2012-01-06,-22.086178
2012-01-07,-18.52239
2012-01-08,-19.41058
2012-01-09,-18.03514
2012-01-10,-23.264973
2012-01-11,-18.638252
2012-01-12,-16.711494
2012-01-13,-15.244913
2012-01-14,-17.378702
2012-01-15,-12.212716
2012-01-16,-12.756814
2012-01-17,-14.998119
2012-01-18,-16.743874
2012-01-19,-19.769583
2012-01-20,-26.582478
2012-01-21,-28.152784
2012-01-22,-26.82871
2012-01-23,-25.502857
2012-01-24,-25.318192
2012-01-25,-22.438244
2012-01-26,-22.255848
2012-01-27,-22.645844
2012-01-28,-22.361273
2012-01-29,-26.394302
2012-01-30,-28.445654
2012-01-31,-28.04148
2012-02-01,-26.785404
2012-02-02,-21.209852
2012-02-03,-21.62043
2012-02-04,-13.659474
2012-02-05,-14.654381
2012-02-06,-20.74667
2012-02-07,-24.173828
2012-02-08,-18.752121
2012-02-09,-19.343819
2012-02-10,-19.60821
2012-02-11,-19.099447
2012-02-12,-9.039256
2012-02-13,-16.620739
2012-02-14,-20.12526
2012-02-15,-19.083277
2012-02-16,-20.83536
2012-02-17,-20.830093
2012-02-18,-15.142083
2012-02-19,-12.074253
2012-02-20,-19.96475
2012-02-21,-8.675729
2012-02-22,-10.385661
2012-02-23,-8.721298
2012-02-24,-14.219259
2012-02-25,-15.272252
2012-02-26,-13.374294
2012-02-27,-7.3802605
2012-02-28,-4.5433702
2012-02-29,-9.892643
2012-03-01,-13.9455185
2012-03-02,-12.547235
2012-03-03,-5.5074697
2012-03-04,-5.20975
2012-03-05,-6.18073
2012-03-06,-5.9357185
2012-03-07,-10.908835
2012-03-08,-15.069524
2012-03-09,-10.173317
2012-03-10,-14.673034
2012-03-11,-13.064342
2012-03-12,-6.731975
2012-03-13,-8.445782
2012-03-14,-5.703052
2012-03-15,1.9632411
2012-03-16,-0.42784154
2012-03-17,-9.961111
2012-03-18,-9.421205
2012-03-19,-9.51821
2012-03-20,-3.9048061
2012-03-21,-4.80001
2012-03-22,-1.3190467
2012-03-23,-4.104119
2012-03-24,-5.7579036
2012-03-25,-4.403282
2012-03-26,3.9397147
2012-03-27,0.31218904
2012-03-28,8.089517
2012-03-29,7.7415147
2012-03-30,-5.239486
2012-03-31,-9.123936
2012-04-01,-6.1470037
2012-04-02,-4.97482
2012-04-03,-2.5708866
2012-04-04,-3.4095993
2012-04-05,-7.4412403
2012-04-06,-1.32303
2012-04-07,10.541329
2012-04-08,-0.9529921
2012-04-09,10.4724045
2012-04-10,4.14089
2012-04-11,3.970025
2012-04-12,4.97773
2012-04-13,5.2592487
2012-04-14,2.3841097
2012-04-15,-0.7744497
2012-04-16,6.587153
2012-04-17,13.783811
2012-04-18,18.859465
2012-04-19,13.977813
2012-04-20,8.976634
2012-04-21,15.131951
2012-04-22,20.28815
2012-04-23,18.423029
2012-04-24,13.340067
2012-04-25,3.0600173
2012-04-26,4.662135
2012-04-27,1.8911852
2012-04-28,-0.11221075
2012-04-29,4.736529
2012-04-30,10.963249
2012-05-01,11.742531
2012-05-02,17.338701
2012-05-03,15.758544
2012-05-04,12.7740555
2012-05-05,12.0622225
2012-05-06,15.080462
2012-05-07,17.310902
2012-05-08,18.336897
2012-05-09,17.808512
2012-05-10,21.75115
2012-05-11,16.043541
2012-05-12,12.173913
2012-05-13,11.472848
2012-05-14,7.1854715
2012-05-15,9.409289
2012-05-16,12.915942
2012-05-17,21.749258
2012-05-18,28.625761
2012-05-19,13.990358
2012-05-20,21.159016
2012-05-21,27.677158
2012-05-22,22.794773
2012-05-23,8.691083
2012-05-24,11.650664
2012-05-25,15.358032
2012-05-26,17.699821
2012-05-27,22.26112
2012-05-28,22.565578
2012-05-29,16.966795
2012-05-30,10.025941
2012-05-31,17.204376
2012-06-01,17.893702
