time,tmax
2012-01-01,-11.003374
2012-01-02,-11.451487
2012-01-03,-12.429444
2012-01-04,-11.287438
2012-01-05,-12.94412
2012-01-06,-13.173222
2012-01-07,-11.647322
2012-01-08,-11.902443
2012-01-09,-12.477171
2012-01-10,-16.288225
2012-01-11,-14.741351
2012-01-12,-9.054592
2012-01-13,-10.024102
2012-01-14,-9.365407
2012-01-15,-6.1018863
2012-01-16,-9.414671
2012-01-17,-11.3783655
2012-01-18,-11.749826
2012-01-19,-13.069341
2012-01-20,-18.015911
2012-01-21,-19.497831
2012-01-22,-16.653402
2012-01-23,-16.818184
2012-01-24,-16.617298
2012-01-25,-14.655427
2012-01-26,-13.955558
2012-01-27,-14.567318
2012-01-28,-14.555271
2012-01-29,-17.81759
2012-01-30,-19.00127
2012-01-31,-18.9565
2012-02-01,-18.584702
2012-02-02,-12.971819
2012-02-03,-13.871569
2012-02-04,-6.8659587
2012-02-05,-6.7621408
2012-02-06,-13.580894
2012-02-07,-15.380414
2012-02-08,-12.0257015
2012-02-09,-10.982315
2012-02-10,-11.7442045
2012-02-11,-10.825938
2012-02-12,-6.137935
2012-02-13,-7.6551633
2012-02-14,-11.81337
2012-02-15,-9.3095455
2012-02-16,-10.854832
2012-02-17,-10.731593
2012-02-18,-7.1003957
2012-02-19,-4.0301366
2012-02-20,-8.927188
2012-02-21,-6.235318
2012-02-22,-3.6943054
2012-02-23,-2.0553806
2012-02-24,-5.839013
2012-02-25,-7.381762
2012-02-26,-5.869334
2012-02-27,0.5988202
2012-02-28,2.7885103
2012-02-29,-1.4477444
2012-03-01,-4.844028
2012-03-02,-4.610587
2012-03-03,0.51515865
2012-03-04,-1.9436142
2012-03-05,-4.3567777
2012-03-06,-1.934516
2012-03-07,-5.078552
2012-03-08,-7.0818563
2012-03-09,-5.4046125
2012-03-10,-7.7075715
2012-03-11,-4.6274962
2012-03-12,-3.4560976
2012-03-13,-1.121105
2012-03-14,-0.30909202
2012-03-15,7.648076
2012-03-16,6.7929583
2012-03-17,1.2267938
2012-03-18,-2.4580486
2012-03-19,-0.5317184
2012-03-20,4.4921684
2012-03-21,3.3305445
2012-03-22,6.9979877
2012-03-23,0.097709
2012-03-24,1.9023943
2012-03-25,2.234272
2012-03-26,11.712783
2012-03-27,8.527901
2012-03-28,17.278385
2012-03-29,12.721694
2012-03-30,1.5535994
2012-03-31,-2.3688474
2012-04-01,-0.35615915
2012-04-02,3.2891555
2012-04-03,4.479613
2012-04-04,4.739305
2012-04-05,0.60281706
2012-04-06,4.040038
