time,tmax
2012-01-01,-12.988268
2012-01-02,-12.101505
2012-01-03,-15.44603
2012-01-04,-14.144693
2012-01-05,-15.574712
2012-01-06,-16.986061
2012-01-07,-14.152548
2012-01-08,-14.904766
2012-01-09,-14.783245
2012-01-10,-18.721842
2012-01-11,-14.795428
2012-01-12,-11.479048
2012-01-13,-12.307252
2012-01-14,-12.644521
2012-01-15,-8.095693
2012-01-16,-10.047863
2012-01-17,-11.310239
2012-01-18,-14.066606
2012-01-19,-15.359323
2012-01-20,-20.99244
2012-01-21,-22.324324
2012-01-22,-19.542233
2012-01-23,-19.116446
2012-01-24,-19.11281
2012-01-25,-16.591051
2012-01-26,-16.077187
2012-01-27,-16.517282
2012-01-28,-16.135508
2012-01-29,-20.15926
2012-01-30,-21.398554
2012-01-31,-21.657269
2012-02-01,-21.10306
2012-02-02,-15.674026
2012-02-03,-16.778334
2012-02-04,-8.734898
2012-02-05,-9.512019
2012-02-06,-16.455738
2012-02-07,-18.811872
2012-02-08,-14.180747
2012-02-09,-13.333043
2012-02-10,-13.432503
2012-02-11,-12.706245
2012-02-12,-6.6104913
2012-02-13,-9.275128
2012-02-14,-12.991699
2012-02-15,-12.16924
2012-02-16,-13.743615
2012-02-17,-13.908572
2012-02-18,-9.561695
2012-02-19,-6.217635
2012-02-20,-11.583871
2012-02-21,-6.413186
2012-02-22,-4.388239
2012-02-23,-4.3645678
2012-02-24,-8.272887
2012-02-25,-9.279622
2012-02-26,-7.789689
2012-02-27,-1.4324946
2012-02-28,0.7046584
2012-02-29,-3.6440706
2012-03-01,-7.1041946
2012-03-02,-6.3037987
2012-03-03,-1.3290884
2012-03-04,-2.7640529
2012-03-05,-4.5080094
2012-03-06,-2.8324304
2012-03-07,-7.1695023
2012-03-08,-9.720208
2012-03-09,-6.7423925
2012-03-10,-10.414434
2012-03-11,-8.126349
2012-03-12,-5.1262655
2012-03-13,-4.021059
2012-03-14,-2.0748358
2012-03-15,6.9690566
2012-03-16,4.0956492
2012-03-17,-1.1917615
2012-03-18,-3.3034527
2012-03-19,-3.0220714
2012-03-20,1.9676775
2012-03-21,0.6692489
2012-03-22,4.1348886
2012-03-23,-0.8831438
2012-03-24,-0.6829033
2012-03-25,-0.027299643
2012-03-26,8.802899
2012-03-27,6.0969524
2012-03-28,13.890337
2012-03-29,11.336128
2012-03-30,-1.4380255
2012-03-31,-4.208805
2012-04-01,-1.100543
2012-04-02,1.0799769
2012-04-03,2.565281
2012-04-04,2.2504606
2012-04-05,-1.7903776
2012-04-06,2.8242333
2012-04-07,16.567236
2012-04-08,2.991368
2012-04-09,15.432867
2012-04-10,10.04428
2012-04-11,9.36585
2012-04-12,9.895457
2012-04-13,13.827131
2012-04-14,6.717732
2012-04-15,4.034189
2012-04-16,10.909084
2012-04-17,17.574957
2012-04-18,24.037558
2012-04-19,18.737936
2012-04-20,12.424608
2012-04-21,19.099342
2012-04-22,23.176405
2012-04-23,20.569761
2012-04-24,16.285946
2012-04-25,7.767683
2012-04-26,11.694834
2012-04-27,7.509444
2012-04-28,4.4739494
2012-04-29,10.272552
2012-04-30,16.547977
2012-05-01,19.209574
2012-05-02,22.007866
2012-05-03,22.150965
2012-05-04,18.061956
2012-05-05,16.684637
2012-05-06,19.33884
2012-05-07,21.779358
2012-05-08,21.814533
2012-05-09,20.9953
2012-05-10,23.338388
2012-05-11,17.597805
2012-05-12,16.190807
2012-05-13,13.157043
2012-05-14,10.44429
2012-05-15,12.79598
2012-05-16,14.202218
2012-05-17,24.15114
2012-05-18,32.718174
2012-05-19,19.10363
2012-05-20,24.585491
2012-05-21,29.71667
2012-05-22,25.044834
2012-05-23,13.40891
2012-05-24,15.731104
2012-05-25,20.13933
2012-05-26,21.10322
2012-05-27,25.977968
2012-05-28,24.110977
2012-05-29,19.942505
2012-05-30,16.55521
2012-05-31,21.135578
2012-06-01,20.733559
2012-06-02,13.3005495
2012-06-03,17.923391
2012-06-04,17.356037
2012-06-05,23.283998
2012-06-06,22.461676
2012-06-07,22.889221
2012-06-08,21.906193
2012-06-09,18.829489
2012-06-10,14.64827
2012-06-11,15.020649
2012-06-12,13.015992
2012-06-13,13.310465
2012-06-14,17.537712
2012-06-15,19.956108
2012-06-16,23.67635
2012-06-17,19.380142
2012-06-18,24.199457
2012-06-19,25.61629
2012-06-20,26.251247
2012-06-21,27.479563
2012-06-22,26.802046
2012-06-23,26.092794
2012-06-24,21.934093
2012-06-25,23.63166
2012-06-26,26.105734
2012-06-27,22.369663
2012-06-28,24.388416
2012-06-29,23.457767
2012-06-30,28.209991
2012-07-01,20.454811
2012-07-02,19.086214
2012-07-03,21.256514
2012-07-04,26.374855
2012-07-05,27.009272
2012-07-06,27.99401
2012-07-07,28.558317
2012-07-08,27.599236
2012-07-09,28.194695
2012-07-10,25.311142
2012-07-11,20.272213
2012-07-12,20.135614
2012-07-13,25.245192
2012-07-14,27.302534
2012-07-15,28.11849
2012-07-16,30.185837
2012-07-17,31.634703
2012-07-18,28.807333
2012-07-19,29.151375
2012-07-20,27.979942
2012-07-21,26.866882
2012-07-22,21.283302
2012-07-23,27.736359
2012-07-24,26.788261
2012-07-25,28.8967
2012-07-26,24.628538
2012-07-27,28.534492
2012-07-28,21.45514
2012-07-29,18.516077
2012-07-30,22.974144
2012-07-31,25.915169
2012-08-01,23.66484
2012-08-02,23.002995
2012-08-03,22.106958
2012-08-04,27.27711
2012-08-05,29.730059
2012-08-06,30.980648
2012-08-07,29.602554
2012-08-08,26.19902
2012-08-09,23.15917
2012-08-10,20.342392
2012-08-11,20.378754
2012-08-12,23.073698
2012-08-13,25.558752
2012-08-14,22.139093
2012-08-15,25.168343
2012-08-16,27.906586
2012-08-17,27.939075
2012-08-18,23.573269
2012-08-19,24.658417
2012-08-20,19.517914
2012-08-21,20.135221
2012-08-22,21.622751
2012-08-23,30.129128
2012-08-24,31.090714
2012-08-25,29.581383
2012-08-26,27.665142
2012-08-27,26.60087
2012-08-28,26.650105
2012-08-29,25.06112
2012-08-30,30.205172
2012-08-31,32.19374
2012-09-01,27.015106
2012-09-02,18.919422
2012-09-03,14.039176
2012-09-04,14.650541
2012-09-05,16.302929
2012-09-06,23.469707
2012-09-07,26.055344
2012-09-08,26.309807
2012-09-09,24.192627
2012-09-10,22.522406
2012-09-11,17.472984
2012-09-12,11.132934
2012-09-13,13.284751
2012-09-14,19.026474
2012-09-15,21.64924
2012-09-16,22.319948
2012-09-17,22.885584
2012-09-18,23.308962
2012-09-19,21.027124
2012-09-20,24.113379
2012-09-21,23.771952
