time,tmax
2012-01-01,-14.904626
2012-01-02,-13.346296
2012-01-03,-16.982344
2012-01-04,-15.314182
2012-01-05,-17.775715
2012-01-06,-17.98406
2012-01-07,-15.714415
2012-01-08,-15.954598
2012-01-09,-16.319204
2012-01-10,-20.465448
2012-01-11,-17.309511
2012-01-12,-14.079472
2012-01-13,-13.395051
2012-01-14,-14.260211
2012-01-15,-10.298105
2012-01-16,-12.327403
2012-01-17,-14.309194
2012-01-18,-14.097012
2012-01-19,-16.445524
2012-01-20,-23.420576
2012-01-21,-25.459639
2012-01-22,-23.619076
2012-01-23,-22.553762
2012-01-24,-22.291672
2012-01-25,-20.313658
2012-01-26,-20.075966
2012-01-27,-20.140373
2012-01-28,-20.47816
2012-01-29,-23.800304
2012-01-30,-25.150595
2012-01-31,-24.181902
2012-02-01,-23.942312
2012-02-02,-18.05243
2012-02-03,-18.613464
2012-02-04,-11.182957
2012-02-05,-11.101021
2012-02-06,-18.386778
2012-02-07,-21.047132
2012-02-08,-16.593266
2012-02-09,-16.730003
2012-02-10,-17.51054
2012-02-11,-16.555439
2012-02-12,-9.513568
2012-02-13,-13.472246
2012-02-14,-17.670458
2012-02-15,-14.98468
2012-02-16,-16.970537
2012-02-17,-16.55551
2012-02-18,-11.816638
2012-02-19,-9.091049
2012-02-20,-15.860762
2012-02-21,-8.496934
2012-02-22,-7.5359817
2012-02-23,-6.2513976
2012-02-24,-11.417541
2012-02-25,-12.48148
2012-02-26,-11.225897
2012-02-27,-4.913169
2012-02-28,-1.920129
2012-02-29,-7.234524
2012-03-01,-11.215029
2012-03-02,-9.809564
2012-03-03,-3.7663364
2012-03-04,-3.8529563
2012-03-05,-6.0739713
2012-03-06,-4.5121727
2012-03-07,-8.211019
2012-03-08,-11.953057
2012-03-09,-9.205313
2012-03-10,-12.169506
2012-03-11,-9.7116375
2012-03-12,-5.146385
2012-03-13,-5.426968
2012-03-14,-3.7109666
2012-03-15,2.325105
2012-03-16,1.702333
2012-03-17,-5.446825
2012-03-18,-8.174737
2012-03-19,-6.8837295
2012-03-20,-1.7566003
2012-03-21,-2.7935529
2012-03-22,1.887956
2012-03-23,-3.210101
2012-03-24,-3.3756313
2012-03-25,-2.655715
2012-03-26,6.3254175
2012-03-27,1.9313763
2012-03-28,11.158461
2012-03-29,9.133536
2012-03-30,-3.4978633
2012-03-31,-7.3117766
2012-04-01,-4.9186115
2012-04-02,-2.4754205
2012-04-03,-0.55096847
2012-04-04,-1.1903307
2012-04-05,-5.6259117
2012-04-06,-0.34924546
2012-04-07,12.069717
2012-04-08,0.12706053
2012-04-09,11.191004
2012-04-10,6.350054
2012-04-11,5.295163
2012-04-12,5.917491
2012-04-13,8.160928
2012-04-14,3.0090227
2012-04-15,1.1921314
2012-04-16,7.135474
2012-04-17,13.995768
2012-04-18,18.50844
2012-04-19,17.3833
2012-04-20,9.585027
2012-04-21,15.808168
2012-04-22,20.91122
2012-04-23,17.689701
2012-04-24,14.487017
2012-04-25,5.074464
2012-04-26,6.3928404
2012-04-27,2.8923101
2012-04-28,1.3282676
2012-04-29,5.949581
2012-04-30,12.682579
2012-05-01,12.848837
2012-05-02,18.419205
2012-05-03,17.971682
2012-05-04,14.324566
2012-05-05,13.307931
2012-05-06,16.343506
2012-05-07,18.153908
2012-05-08,18.276262
2012-05-09,17.383392
2012-05-10,21.109282
2012-05-11,16.063148
2012-05-12,12.679571
2012-05-13,12.070073
2012-05-14,8.195392
2012-05-15,10.542635
2012-05-16,12.942164
2012-05-17,21.816095
2012-05-18,28.379995
2012-05-19,17.28135
2012-05-20,22.144976
2012-05-21,28.002907
2012-05-22,24.046497
2012-05-23,10.185798
2012-05-24,13.462916
2012-05-25,16.639507
2012-05-26,18.57789
2012-05-27,23.043606
2012-05-28,22.056583
2012-05-29,17.665052
2012-05-30,11.892615
2012-05-31,17.72989
2012-06-01,17.097818
2012-06-02,12.835177
2012-06-03,15.105707
2012-06-04,17.178501
2012-06-05,21.176004
2012-06-06,16.266455
2012-06-07,19.919582
2012-06-08,18.370363
2012-06-09,15.10593
2012-06-10,12.447289
2012-06-11,12.968684
2012-06-12,11.757209
2012-06-13,12.516314
2012-06-14,16.077688
2012-06-15,19.1132
2012-06-16,21.14965
2012-06-17,17.620934
2012-06-18,22.307655
2012-06-19,24.247992
2012-06-20,24.57656
2012-06-21,25.604177
2012-06-22,24.780376
2012-06-23,24.927156
2012-06-24,22.074293
2012-06-25,21.900911
2012-06-26,24.508045
2012-06-27,22.091354
2012-06-28,22.491081
2012-06-29,19.80258
2012-06-30,24.771566
2012-07-01,18.619492
2012-07-02,17.500465
2012-07-03,20.582495
2012-07-04,23.642221
2012-07-05,25.117859
2012-07-06,26.326645
2012-07-07,26.970802
2012-07-08,23.297314
2012-07-09,23.953247
2012-07-10,24.151493
